Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,James Wood*,23,WSN,NL,2.6,67,312,253,58,67,15,0,17,40,11,1,55,93,.265,.404,.526,.930,162,.407,160,133,1,4,0,0,7,*97D,,woodja03
2,Gunnar Henderson*,25,BAL,AL,1.3,66,303,277,35,62,13,1,13,32,6,3,22,77,.224,.287,.419,.706,98,.318,100,116,2,3,0,1,0,*6/D,,hendegu01
3,Taylor Ward,32,BAL,AL,1.8,66,303,242,40,63,16,0,3,20,2,2,57,63,.260,.403,.364,.766,121,.353,126,88,3,2,0,2,1,*7D,,wardta01
4,José Ramírez#,33,CLE,AL,2.3,68,298,252,40,60,17,0,10,33,23,2,41,41,.238,.343,.425,.768,116,.359,115,107,1,1,0,3,5,*5D,,ramirjo01
5,Mike Trout,34,LAA,AL,2.3,66,298,234,47,52,10,0,14,31,5,0,61,73,.222,.389,.444,.834,136,.382,141,104,4,3,0,0,6,*8/D,,troutmi01
6,Alex Bregman,32,CHC,NL,1.3,65,297,263,29,64,9,1,5,19,2,1,29,51,.243,.327,.342,.669,95,.309,100,90,8,4,0,1,2,*5/DH,,bregmal01
7,Nick Kurtz*,23,ATH,AL,3.0,65,297,234,45,66,12,1,14,48,7,1,61,87,.282,.434,.521,.956,159,.423,161,122,3,2,0,0,7,*3,,kurtzni01
8,Nico Hoerner,29,CHC,NL,1.6,65,296,259,26,64,14,0,4,33,12,2,30,20,.247,.331,.347,.679,98,.322,105,90,5,4,0,3,0,*4/6H,,hoernni01
9,Julio Rodríguez,25,SEA,AL,1.7,67,295,270,37,69,14,0,13,32,9,2,22,62,.256,.315,.452,.767,119,.344,118,122,5,2,0,1,1,*8/D,,rodriju01
10,Bobby Witt Jr.,26,KCR,AL,3.7,66,294,261,33,73,17,1,9,27,23,3,30,55,.280,.354,.456,.810,129,.378,132,119,6,1,0,2,3,*6,,wittbo02
11,Yordan Alvarez*,29,HOU,AL,3.0,67,293,241,46,75,13,0,22,48,1,0,45,52,.311,.427,.639,1.066,195,.454,194,154,2,5,0,2,9,*D7,,alvaryo01
12,Zach Neto,25,LAA,AL,1.6,64,293,251,45,58,14,1,13,32,10,6,35,89,.231,.338,.450,.788,121,.349,122,113,0,6,0,1,1,*6,,netoza01
13,Daylen Lile*,23,WSN,NL,0.7,66,290,264,39,67,15,1,8,31,5,3,21,52,.254,.307,.409,.716,102,.313,98,108,3,1,0,4,1,*7D/9,,lileda01
14,Matt Olson*,32,ATL,NL,2.7,66,290,258,47,69,19,0,17,47,2,0,28,67,.267,.338,.539,.877,147,.377,144,139,2,1,0,3,2,*3,,olsonma02
15,Pete Alonso,31,BAL,AL,1.2,67,289,255,38,61,12,0,13,41,2,0,30,66,.239,.318,.439,.758,113,.335,110,112,8,1,0,3,1,*3/D,,alonspe01
16,Michael Busch*,28,CHC,NL,1.5,65,287,236,27,58,12,2,6,36,1,0,43,67,.246,.369,.390,.759,122,.347,126,92,2,5,0,3,1,*3/H,,buschmi02
17,Trea Turner,33,PHI,NL,0.3,65,287,266,40,60,10,0,7,21,14,2,20,61,.226,.279,.342,.621,70,.291,68,91,4,0,0,1,0,*6/DH,,turnetr01
