Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
Matt Carpenter,STL,DH,38,5,18,2,6,1,0,0,0,0,0,1,6,0,0,0,.333,.368,.389,.757
Kyle Manzardo,CLE,1B,23,7,17,0,3,1,0,0,0,0,0,0,7,0,0,0,.176,.176,.235,.411
Josh Jung,TEX,3B,26,4,17,5,7,1,1,2,6,1,0,2,4,0,0,0,.412,.474,.941,1.415
Heliot Ramos,SF,OF,24,5,17,4,5,1,0,0,2,0,0,1,7,0,0,0,.294,.333,.353,.686
Josh Lowe,TB,OF,26,5,17,0,5,2,0,0,0,0,0,2,2,0,0,0,.294,.368,.412,.780
Alex Call,WSH,OF,29,7,16,6,5,1,0,0,1,1,0,3,5,0,0,2,.313,.476,.375,.851
Dylan Carlson,STL,OF,25,7,16,0,0,0,0,0,0,0,0,0,3,0,0,1,.000,.059,.000,.059
Niko Goodrum,TB,SS,32,9,16,1,3,0,0,0,0,0,1,1,6,1,0,0,.188,.235,.188,.423
Mike Ford,CIN,DH,31,5,15,1,2,0,0,1,1,0,0,1,2,0,0,0,.133,.188,.333,.521
Jose Fermin,STL,2B,25,9,15,1,3,0,0,0,0,1,0,2,2,0,0,1,.200,.333,.200,.533
Heston Kjerstad,BAL,DH,25,7,14,0,2,0,0,0,0,0,0,2,6,0,0,1,.143,.294,.143,.437
Alek Thomas,ARI,OF,24,4,14,2,3,1,0,1,4,0,0,0,3,0,0,0,.214,.214,.500,.714
Romy Gonzalez,BOS,2B,27,6,14,2,4,0,0,0,0,1,0,1,3,0,0,0,.286,.333,.286,.619
Jason Heyward,LAD,OF,34,4,14,3,3,0,0,0,2,0,0,0,1,0,1,0,.214,.200,.214,.414
Alex Jackson,TB,C,28,6,13,1,1,1,0,0,2,0,0,1,10,0,1,0,.077,.133,.154,.287
Kody Clemens,PHI,3B,27,6,13,3,4,1,1,2,7,0,0,0,2,0,0,0,.308,.308,1.000,1.308
Sam Haggerty,SEA,OF,29,7,12,1,1,0,0,0,1,1,0,1,3,0,0,0,.083,.154,.083,.237
Andruw Monasterio,MIL,2B,26,7,12,2,1,0,0,0,1,0,0,2,4,0,0,0,.083,.214,.083,.297
Rafael Ortega,CWS,OF,32,13,12,3,0,0,0,0,1,0,0,1,3,0,1,0,.000,.071,.000,.071
Jonah Bride,MIA,3B,28,7,12,1,2,1,0,0,2,0,0,1,2,0,0,0,.167,.231,.250,.481
Casey Schmitt,SF,SS,25,3,12,0,1,1,0,0,1,0,0,0,3,0,0,0,.083,.083,.167,.250
Tyler Soderstrom,OAK,DH,22,3,12,1,4,1,0,1,2,0,0,0,5,0,0,0,.333,.333,.667,1.000
Owen Miller,MIL,2B,27,7,12,1,1,0,0,0,2,0,0,0,5,0,0,0,.083,.083,.083,.166
Grae Kessinger,HOU,SS,26,10,11,1,0,0,0,0,0,0,0,0,5,0,0,0,.000,.000,.000,.000
Victor Robles,WSH,OF,26,7,11,2,2,0,0,0,1,3,1,3,3,0,0,1,.182,.400,.182,.582
Jakson Reetz,SF,C,28,4,10,1,1,0,0,1,1,0,0,0,2,0,0,0,.100,.100,.400,.500
Luis Guillorme,LAA,2B,29,3,10,0,3,2,0,0,1,0,0,1,4,0,0,0,.300,.364,.500,.864
Trey Cabbage,HOU,OF,27,6,10,0,2,1,0,0,3,0,0,0,2,0,0,0,.200,.200,.300,.500
Donovan Solano,SD,2B,36,3,10,1,4,1,0,0,1,0,0,1,1,0,0,1,.400,.500,.500,1.000
Buddy Kennedy,DET,3B,25,6,10,2,2,0,0,1,4,1,0,2,4,0,1,0,.200,.308,.500,.808
Jorge Barrosa,ARI,OF,23,3,10,1,2,1,0,0,1,0,0,0,1,0,0,0,.200,.200,.300,.500
Ryan Vilade,DET,OF,25,4,9,0,2,0,0,0,3,0,0,1,1,0,0,0,.222,.300,.222,.522
Tony Kemp,BAL,2B,32,5,9,1,0,0,0,0,0,0,0,1,1,0,0,0,.000,.100,.000,.100
Niko Goodrum,LAA,SS,32,3,9,1,0,0,0,0,0,1,0,2,3,0,0,0,.000,.182,.000,.182
Zack Short,NYM,2B,28,10,9,2,1,0,0,0,0,0,1,2,4,1,0,0,.111,.273,.111,.384
Brian Serven,TOR,C,29,7,8,1,0,0,0,0,0,0,0,1,4,0,0,1,.000,.200,.000,.200
David Fletcher,ATL,2B,29,5,8,0,2,0,0,0,2,0,0,0,1,0,1,0,.250,.222,.250,.472
Ryan McKenna,BAL,OF,27,9,8,3,3,0,0,2,2,0,1,1,1,0,0,0,.375,.444,1.125,1.569
Jahmai Jones,NYY,DH,26,11,8,2,2,0,0,1,1,0,0,1,4,0,0,1,.250,.400,.625,1.025
Robbie Grossman,TEX,OF,34,3,8,0,1,0,0,0,0,0,0,1,1,0,0,0,.125,.222,.125,.347
Zach Remillard,CWS,2B,30,3,7,1,3,0,0,0,0,0,0,1,3,0,0,0,.429,.500,.429,.929
Zack Short,BOS,2B,28,2,7,0,0,0,0,0,0,0,0,0,4,0,0,0,.000,.000,.000,.000
Mark Vientos,NYM,DH,24,3,7,1,3,0,0,1,2,0,0,0,0,0,0,0,.429,.429,.857,1.286
Kyren Paris,LAA,SS,22,4,7,1,1,0,0,0,0,0,0,1,2,0,0,0,.143,.250,.143,.393
Nick Gonzales,PIT,2B,24,3,7,1,1,0,0,0,2,1,0,1,2,0,0,0,.143,.250,.143,.393
Drew Millas,WSH,C,26,2,6,0,1,0,0,0,0,1,0,0,1,0,0,0,.167,.167,.167,.334
Taylor Trammell,LAD,OF,26,5,6,0,0,0,0,0,0,0,0,0,3,0,0,0,.000,.000,.000,.000
Leonardo Rivas,SEA,2B,26,3,6,1,2,0,1,0,0,0,0,0,3,0,0,0,.333,.333,.667,1.000
Jhonny Pereda,MIA,C,28,3,5,0,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000
Samad Taylor,SEA,2B,25,3,5,2,2,0,0,0,0,0,0,0,1,0,0,0,.400,.400,.400,.800
Pedro Pages,STL,C,25,6,5,0,0,0,0,0,1,0,0,2,3,0,1,0,.000,.250,.000,.250
Jair Camargo,MIN,C,24,2,4,1,0,0,0,0,0,0,0,1,2,0,0,0,.000,.200,.000,.200
Luis Matos,SF,OF,22,2,4,1,0,0,0,0,1,0,0,0,0,0,0,0,.000,.000,.000,.000
Brett Wisely,SF,2B,25,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000
Nasim Nunez,WSH,SS,23,9,3,3,0,0,0,0,0,2,1,0,0,0,0,0,.000,.000,.000,.000
Matthew Batten,SD,3B,28,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,.333,.333,1.000,1.333
Sean Murphy,ATL,C,29,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000
Jason Delay,PIT,C,29,1,3,0,0,0,0,0,1,0,0,1,0,1,0,0,.000,.250,.000,.250
Brett Sullivan,SD,C,30,3,2,0,0,0,0,0,0,0,0,0,2,0,0,0,.000,.000,.000,.000
Royce Lewis,MIN,3B,24,1,2,1,2,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,2.500,3.500
Justin Foscue,TEX,2B,25,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,.500,.500,.500,1.000
Jonathan Ornelas,TEX,SS,23,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
David Banuelos,BAL,C,27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
Oscar Colas,CWS,OF,25,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
Jacob Amaya,HOU,SS,25,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
Taylor Trammell,NYY,OF,26,5,1,2,1,0,0,0,0,0,0,1,0,0,0,0,1.000,1.000,1.000,2.000
Akil Baddoo,DET,OF,25,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1.000,1.000,3.000,4.000
Conner Capel,CIN,OF,26,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000
Luke Williams,ATL,SS,27,4,1,1,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000
Forrest Wall,ATL,OF,28,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
Tristan Gray,MIA,1B,28,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000
Tyler Heineman,BOS,C,32,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,.000,.500,.000,.500
Zack Short,ATL,2B,28,1,0,2,0,0,0,0,0,1,0,2,0,0,0,0,.000,1.000,.000,1.000
