Hashcode,Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS,League,Teams,Leagues,Season,Total_OB,Total_Outs,Game_Fatigue_Factor,Condition,Status,Injured Days
16828,Jeff McNeil,NYM,2B,31,156,585,75,158,25,4,10,55,10,0,39,65,3,3,18,0.27,0.334,0.377,0.711,NL,['NYM'],['NL'],[2023],215,445,0,100,Active,0
516184,Kyle Schwarber,PHI,OF,30,160,585,108,115,19,1,47,104,0,2,126,215,0,3,6,0.197,0.344,0.473,0.817,NL,['PHI'],['NL'],[2023],247,476,0,100,Active,0
839511,Mookie Betts,LAD,OF,31,152,584,126,179,40,1,39,107,14,3,96,107,0,5,8,0.307,0.411,0.578,0.988,AL,['LAD'],['AL'],[2023],283,413,0,100,Active,0
238037,Christian Walker,ARI,1B,32,157,582,86,150,36,2,33,103,11,0,62,127,0,8,8,0.258,0.337,0.496,0.833,AL,['ARI'],['AL'],[2023],220,440,0,100,Active,0
708093,Spencer Steer,CIN,3B,25,156,582,74,158,37,3,23,86,15,3,68,139,0,4,11,0.271,0.358,0.463,0.821,NL,['CIN'],['NL'],[2023],237,435,0,100,Active,0
193121,Ezequiel Tovar,COL,SS,22,153,581,79,147,37,4,15,73,11,5,25,166,2,3,4,0.253,0.288,0.407,0.695,NL,['COL'],['NL'],[2023],176,438,0,100,Active,0
437742,Rafael Devers,BOS,3B,26,153,580,90,157,34,0,33,100,5,1,62,126,0,3,11,0.271,0.352,0.5,0.852,AL,['BOS'],['AL'],[2023],230,434,0,100,Active,0
423532,Ian Happ,CHC,OF,29,158,580,86,144,35,4,21,84,14,3,99,153,0,6,6,0.248,0.363,0.431,0.794,NL,['CHC'],['NL'],[2023],249,442,0,100,Active,0
114469,Bryan De La Cruz,MIA,OF,26,153,579,60,149,32,0,19,78,4,1,40,142,0,5,1,0.257,0.306,0.411,0.717,NL,['MIA'],['NL'],[2023],190,431,0,100,Active,0
345745,Jeremy Pena,HOU,SS,26,150,577,81,152,32,3,10,52,13,9,43,129,1,1,9,0.263,0.324,0.381,0.705,AL,['HOU'],['AL'],[2023],204,434,0,100,Active,0
905645,Fernando Tatis,SD,OF,24,141,575,91,148,33,1,25,78,29,4,53,141,1,3,3,0.257,0.323,0.448,0.771,NL,['SD'],['NL'],[2023],204,430,0,100,Active,0
14113,Luis Arraez,MIA,2B,26,147,574,71,203,30,3,10,69,3,2,35,34,1,3,4,0.354,0.394,0.468,0.862,NL,['MIA'],['NL'],[2023],242,375,0,100,Active,0
162428,Bryan Reynolds,PIT,OF,28,145,574,85,151,31,5,24,84,12,1,53,138,0,6,7,0.263,0.332,0.459,0.791,NL,['PIT'],['NL'],[2023],211,430,0,100,Active,0
520018,Kyle Tucker,HOU,OF,26,157,574,97,163,37,5,29,112,30,5,80,92,0,10,3,0.284,0.374,0.517,0.891,AL,['HOU'],['AL'],[2023],246,414,0,100,Active,0
1024151,Bo Bichette,TOR,SS,25,135,571,69,175,30,3,20,73,5,3,27,115,0,1,2,0.306,0.34,0.474,0.814,AL,['TOR'],['AL'],[2023],204,398,0,100,Active,0
602253,Ketel Marte,ARI,2B,29,150,569,94,157,26,9,25,82,8,2,71,109,0,5,5,0.276,0.361,0.485,0.846,AL,['ARI'],['AL'],[2023],233,417,0,100,Active,0
547988,Juan Soto,SD,OF,24,162,568,97,156,32,1,35,109,12,5,132,129,1,5,2,0.275,0.413,0.519,0.931,NL,['SD'],['NL'],[2023],290,414,0,100,Active,0
468159,Pete Alonso,NYM,1B,28,154,568,92,123,21,2,46,118,4,1,65,151,0,4,21,0.217,0.319,0.503,0.822,NL,['NYM'],['NL'],[2023],209,466,0,100,Active,0
144411,Andrew Vaughn,CWS,1B,25,152,566,67,146,30,2,21,80,0,0,36,129,0,2,11,0.258,0.314,0.429,0.743,AL,['CWS'],['AL'],[2023],193,431,0,100,Active,0
808661,Corbin Carroll,ARI,OF,23,155,565,116,161,30,10,25,76,54,5,57,125,6,4,13,0.285,0.363,0.506,0.869,AL,['ARI'],['AL'],[2023],231,417,0,100,Active,0
957163,Dansby Swanson,CHC,SS,29,147,565,81,138,25,3,22,80,9,1,66,154,0,2,5,0.244,0.328,0.415,0.743,NL,['CHC'],['NL'],[2023],209,432,0,100,Active,0
442957,CJ Abrams,WSH,SS,23,151,563,83,138,28,6,18,64,47,4,32,118,3,3,13,0.245,0.3,0.412,0.712,NL,['WSH'],['NL'],[2023],183,438,0,100,Active,0
875323,Andrew Benintendi,CWS,OF,29,151,562,72,147,34,2,5,45,13,2,52,89,1,3,3,0.262,0.327,0.355,0.681,AL,['CWS'],['AL'],[2023],202,418,0,100,Active,0
228180,Nolan Arenado,STL,3B,32,144,560,71,149,26,2,26,93,3,3,41,101,0,8,3,0.266,0.319,0.458,0.777,NL,['STL'],['NL'],[2023],193,414,0,100,Active,0
985921,Gunnar Henderson,BAL,3B,22,150,560,100,143,29,9,28,82,10,3,56,159,0,3,3,0.255,0.326,0.489,0.815,AL,['BAL'],['AL'],[2023],202,420,0,100,Active,0
870242,Alec Bohm,PHI,3B,27,145,558,74,153,31,0,20,97,4,1,42,94,0,6,5,0.274,0.33,0.437,0.767,NL,['PHI'],['NL'],[2023],200,410,0,100,Active,0
206318,Justin Turner,BOS,3B,38,146,558,86,154,31,0,23,96,4,1,51,110,0,6,11,0.276,0.348,0.455,0.802,AL,['BOS'],['AL'],[2023],216,415,0,100,Active,0
398452,Andres Gimenez,CLE,2B,25,153,557,76,140,27,5,15,62,30,6,32,112,4,3,20,0.251,0.315,0.398,0.713,AL,['CLE'],['AL'],[2023],192,437,0,100,Active,0
196904,Ryan McMahon,COL,3B,28,152,555,80,133,31,3,23,70,5,5,68,198,0,3,1,0.24,0.323,0.43,0.753,NL,['COL'],['NL'],[2023],202,423,0,100,Active,0
1002966,Adolis Garcia,TEX,OF,30,148,555,108,136,29,0,39,107,9,1,65,175,0,6,6,0.245,0.33,0.508,0.838,AL,['TEX'],['AL'],[2023],207,425,0,100,Active,0
