Hashcode,Player,Team,Age,G,GS,CG,SHO,IP,H,ER,K,BB,HR,W,L,SV,BS,HLD,ERA,WHIP,League,Teams,Leagues,AB,2B,3B,HBP,Season,OBP,Total_OB,Total_Outs,AVG_faced,Game_Fatigue_Factor,Condition,Status,Injured Days
429418,Guillermo Zuniga,LAA,25,12,0,0,0,14.0,12,10,12,8,2,0,0,2,0,0,7.2,1.6,AL,"['LAA', 'STL']","['AL', 'NL']",54.0,0,0,0,"[2022, 2023, 2024]",0.3478260869565218,20,42.0,5.166666666666667,0,100,Active,0
610750,Jose Hernandez,PIT,26,112,0,0,0,108.80000000000001,102,58,132,50,18,4,8,2,4,10,1.93,1.5,NL,['PIT'],['NL'],428.40000000000003,0,0,0,"[2022, 2023, 2024]",0.3333333333333333,152,326.40000000000003,4.271428571428571,0,100,Active,0
720580,Darren McCaughan,MIA,28,8,0,0,0,18.4,32,22,24,12,8,0,0,0,0,0,15.43,2.57,NL,"['SEA', 'MIA']","['NL', 'AL']",87.19999999999999,0,0,0,"[2022, 2023, 2024]",0.46140035906642723,44,55.199999999999996,12.399999999999999,0,100,Active,0
691270,Paolo Espino,TOR,37,423,171,9,0,1091.6999999999998,1377,684,873,261,243,0,81,0,0,0,7.71,2.14,AL,"['WAS', 'TOR']","['AL', 'NL']",4652.099999999999,0,0,0,"[2022, 2023, 2024]",0.41634241245136183,1638,3275.0999999999995,11.614893617021275,0,100,Active,0
826868,Cole Sulser,NYM,34,423,0,0,0,389.70000000000005,450,261,441,198,81,9,36,18,27,63,9.64,1.93,NL,"['NYM', 'ARI', 'MIA']","['AL', 'NL']",1619.1000000000001,0,0,0,"[2022, 2023, 2024]",0.39148073022312374,648,1169.1000000000001,4.295744680851064,0,100,Active,0
844091,Daulton Jefferies,SF,28,20,18,0,0,86.60000000000001,120,68,64,20,12,2,18,0,0,0,17.36,3.43,NL,"['OAK', 'SF']","['NL', 'AL']",379.8,0,0,0,"[2022, 2023, 2024]",0.5334370139968896,140,259.8,19.990000000000002,0,100,Active,0
99958,Julian Merryweather,CHC,32,891,9,0,0,921.6000000000001,837,432,1143,405,108,45,36,18,27,171,1.93,1.29,NL,"['TOR', 'CHC']","['NL', 'AL']",3601.8,0,0,0,"[2022, 2023, 2024]",0.30069930069930073,1242,2764.8,4.496969696969697,0,100,Active,0
978496,Dinelson Lamet,LAD,31,32500,2500,0,0,39625.0,46250,36875,50000,27500,7500,1250,3750,625,2500,3125,2.08,0.92,AL,"['COL', 'SD', 'BOS', 'LAD']","['AL', 'NL']",165125.0,0,0,0,"[2022, 2023, 2024]",0.23469387755102042,73750,118875.0,5.926923076923077,0,100,Active,0
418609,Austin Pruitt,TEX,34,729,63,0,0,965.6999999999999,900,432,621,216,171,18,63,9,27,63,12.46,2.54,AL,"['OAK', 'TEX']",['AL'],3797.1,0,0,0,"[2022, 2023, 2024]",0.4584837545126354,1116,2897.1,5.504938271604938,0,100,Active,0
918241,Amir Garrett,LAA,32,828,0,0,0,659.6999999999999,477,324,774,504,36,27,18,0,9,90,4.15,1.62,AL,"['LAA', 'KC']",['AL'],2456.1,0,0,0,"[2022, 2023, 2024]",0.35064935064935066,981,1979.1,3.5749999999999997,0,100,Active,0
