Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
Raimel Tapia,BOS,OF,31,39,87,14,23,4,1,1,10,6,1,9,19,0,0,0,.264,.333,.368,.701
Luken Baker,STL,DH,28,33,86,9,18,3,0,2,10,0,0,13,31,0,0,0,.209,.313,.314,.627
Miguel Andujar,PIT,OF,30,30,84,9,21,7,0,4,18,2,0,6,13,0,0,0,.250,.300,.476,.776
Cristian Pache,PHI,OF,26,48,84,12,20,7,1,2,11,2,3,10,27,1,0,0,.238,.319,.417,.736
Carson Kelly,ARI,C,31,33,84,6,19,3,0,1,6,1,0,7,23,0,1,0,.226,.283,.298,.581
David Hensley,HOU,DH,29,30,84,12,10,1,0,1,3,1,0,10,35,0,0,0,.119,.213,.167,.380
Curtis Mead,TB,2B,24,24,83,12,21,3,1,1,5,0,0,7,21,0,0,2,.253,.326,.349,.675
Ceddanne Rafaela,BOS,OF,24,28,83,11,20,6,0,2,5,3,1,4,28,0,1,1,.241,.281,.386,.667
Trayce Thompson,CWS,OF,34,36,82,5,14,2,0,1,3,2,0,9,40,0,0,1,.171,.261,.232,.493
Hunter Dozier,KC,3B,33,29,82,8,15,2,1,2,9,2,0,8,29,0,1,0,.183,.253,.305,.558
Hanser Alberto,CWS,2B,32,30,82,11,18,5,0,3,16,0,0,4,13,2,1,1,.220,.261,.390,.651
Andrew Velazquez,LAA,SS,31,54,81,12,14,3,0,2,3,13,3,10,30,3,0,0,.173,.264,.284,.548
Brayan Rocchio,CLE,SS,24,23,81,9,20,6,0,0,8,0,0,4,27,0,1,0,.247,.279,.321,.600
Brett Sullivan,SD,C,31,33,81,7,17,3,0,1,6,0,0,4,19,0,1,0,.210,.244,.284,.528
Curt Casali,CIN,C,36,40,80,8,14,2,0,0,6,0,0,11,23,3,0,2,.175,.290,.200,.490
Brandon Dixon,SD,3B,33,33,79,10,16,4,0,2,9,1,0,1,31,0,2,4,.203,.244,.329,.573
Xavier Edwards,MIA,SS,25,30,78,12,23,3,0,0,3,5,0,3,14,2,0,1,.295,.329,.333,.662
Taylor Motter,STL,SS,35,29,76,3,13,3,0,0,2,0,0,5,31,0,0,1,.171,.232,.211,.443
Vidal Brujan,TB,2B,27,37,76,14,13,2,0,0,6,3,2,5,21,1,0,2,.171,.241,.197,.438
Wilyer Abreu,BOS,OF,26,28,76,10,24,6,0,2,14,3,1,9,23,0,0,0,.316,.388,.474,.862
Vaughn Grissom,ATL,2B,24,23,75,5,21,3,1,0,9,0,1,2,15,0,1,2,.280,.313,.347,.660
Yonathan Daza,COL,OF,31,24,74,8,20,6,0,0,7,1,0,3,13,1,1,1,.270,.304,.351,.655
Henry Ramos,CIN,OF,33,23,74,9,18,3,1,0,5,2,1,11,21,0,0,1,.243,.349,.311,.660
Ji Man Choi,PIT,1B,34,23,73,9,15,4,0,6,11,0,0,2,27,0,1,0,.205,.224,.507,.731
Mike Brosseau,MIL,3B,31,29,73,4,15,2,0,4,8,0,0,4,20,0,0,1,.205,.256,.397,.653
Conner Capel,OAK,OF,28,32,73,6,19,5,0,0,3,5,3,12,25,0,0,1,.260,.372,.329,.701
Sam Hilliard,ATL,OF,31,40,72,15,17,5,0,3,6,4,0,6,33,0,0,0,.236,.295,.431,.726
Michael Busch,LAD,1B,27,27,72,9,12,3,0,2,7,1,0,8,27,0,1,0,.167,.247,.292,.539
Nick Martini,CIN,OF,35,29,72,10,19,3,1,6,16,0,0,5,15,0,0,2,.264,.329,.583,.912
Trayce Thompson,LAD,OF,34,36,71,12,11,0,0,5,14,0,0,15,37,0,0,1,.155,.310,.366,.676
Hunter Goodman,COL,C,25,23,70,6,14,4,3,1,17,1,0,5,24,0,2,0,.200,.247,.386,.633
Austin Wells,NYY,C,26,19,70,8,16,6,0,4,13,0,0,3,14,0,1,0,.229,.257,.486,.743
Jake Marisnick,DET,OF,34,33,69,9,16,3,2,2,10,2,2,3,20,1,1,1,.232,.270,.420,.690
Aaron Hicks,NYY,OF,35,28,69,9,13,2,0,1,5,0,0,7,20,0,0,0,.188,.263,.261,.524
Franchy Cordero,NYY,OF,30,24,69,9,13,2,0,6,13,0,0,2,25,0,0,0,.188,.211,.478,.689
Luke Voit,MIL,1B,34,22,68,5,15,3,0,0,4,2,0,4,27,0,0,2,.221,.284,.265,.549
Ben Rortvedt,NYY,C,27,32,68,6,8,1,0,2,4,0,0,11,19,0,0,0,.118,.241,.221,.462
Dane Myers,MIA,OF,29,22,67,9,18,3,0,1,9,1,1,2,19,0,1,0,.269,.286,.358,.644
Clint Frazier,CWS,OF,30,33,66,10,13,1,1,0,3,4,2,10,23,0,0,0,.197,.303,.242,.545
Nicky Lopez,ATL,2B,30,26,65,13,18,3,0,1,12,2,0,5,10,0,1,1,.277,.333,.369,.702
Garrett Mitchell,MIL,OF,26,19,65,10,16,2,1,3,7,1,1,7,26,0,1,0,.246,.315,.446,.761
Danny Mendick,NYM,SS,31,35,65,4,12,3,0,1,4,1,0,4,15,0,0,0,.185,.232,.277,.509
Korey Lee,CWS,C,27,24,65,4,5,1,0,1,3,0,0,5,20,0,0,0,.077,.143,.138,.281
Jordan Luplow,MIN,OF,31,32,63,10,13,3,0,2,4,2,0,9,19,0,0,1,.206,.315,.349,.664
Jon Singleton,HOU,1B,33,25,62,8,12,2,0,2,10,0,0,10,12,0,1,0,.194,.301,.323,.624
Jason Vosler,CIN,3B,31,20,62,6,10,2,1,3,10,0,0,3,25,0,0,0,.161,.200,.371,.571
Michael Stefanic,LAA,2B,29,25,62,5,18,2,1,0,6,0,1,8,8,0,0,1,.290,.380,.355,.735
Nick Loftin,KC,1B,26,19,62,10,20,5,1,0,10,2,0,4,12,0,1,1,.323,.368,.435,.803
Evan Carter,TEX,OF,22,23,62,15,19,4,1,5,12,3,0,12,24,0,1,0,.306,.413,.645,1.058
Colton Cowser,BAL,OF,25,26,61,15,7,2,0,0,4,1,0,13,22,0,1,2,.115,.286,.148,.434
Estevan Florial,NYY,OF,27,19,61,5,14,3,1,0,8,3,0,7,20,0,1,2,.230,.324,.311,.635
Samad Taylor,KC,2B,27,31,60,11,12,2,1,0,4,8,0,7,22,1,1,0,.200,.279,.267,.546
Juan Yepez,STL,1B,27,28,60,5,11,1,0,2,2,0,1,4,20,0,0,1,.183,.246,.300,.546
Jonathan Arauz,NYM,2B,26,27,59,3,8,0,0,3,9,0,0,5,18,2,0,0,.136,.203,.288,.491
Franmil Reyes,KC,DH,30,19,59,5,11,0,0,2,7,0,0,4,24,0,2,0,.186,.231,.288,.519
Josh Donaldson,MIL,3B,39,17,59,5,10,4,0,3,11,0,0,10,18,0,0,0,.169,.290,.390,.680
Jo Adell,LAA,OF,26,17,58,7,12,3,1,3,6,1,0,4,25,0,0,0,.207,.258,.448,.706
Heliot Ramos,SF,OF,25,25,56,5,10,4,0,1,2,0,0,4,20,0,0,0,.179,.233,.304,.537
Tomas Nido,NYM,C,31,22,56,5,7,0,0,0,1,0,0,2,18,2,1,0,.125,.153,.125,.278
Matt Beaty,KC,1B,32,26,56,7,13,4,0,0,3,0,0,6,12,0,0,5,.232,.358,.304,.662
Tim Locastro,NYM,OF,33,43,56,13,13,3,0,2,3,6,0,3,22,2,0,6,.232,.338,.393,.731
Brad Miller,TEX,OF,35,27,56,8,12,4,0,1,6,0,0,10,11,0,1,0,.214,.328,.339,.667
Wade Meckler,SF,OF,25,20,56,6,13,1,0,0,4,0,0,6,25,0,0,2,.232,.328,.250,.578
Luis Urias,MIL,3B,28,20,55,5,8,2,0,1,5,0,0,7,15,0,0,5,.145,.299,.236,.535
Darick Hall,PHI,DH,30,18,54,2,9,1,0,1,3,0,0,2,18,0,0,0,.167,.196,.241,.437
Michael Brantley,HOU,OF,38,15,54,7,15,2,0,2,7,0,0,2,2,0,1,0,.278,.298,.426,.724
Nate Eaton,KC,OF,28,28,53,2,4,0,0,0,1,3,0,2,21,0,0,1,.075,.125,.075,.200
Bubba Thompson,TEX,OF,27,37,53,10,9,4,1,0,4,4,2,4,16,1,1,1,.170,.237,.283,.520
Trey Cabbage,LAA,OF,28,22,53,5,11,3,0,1,7,1,1,2,26,0,1,0,.208,.232,.321,.553
Mark Mathias,PIT,DH,30,22,52,5,12,2,0,0,4,3,0,10,11,0,0,0,.231,.355,.269,.624
Raimel Tapia,MIL,OF,31,20,52,10,9,0,0,2,3,2,1,6,20,1,1,1,.173,.267,.288,.555
Carson Kelly,DET,C,31,19,52,7,9,2,0,1,7,0,0,7,17,0,0,0,.173,.271,.269,.540
Jake Lamb,LAA,OF,34,19,51,7,11,1,0,2,5,0,0,3,15,0,0,0,.216,.259,.353,.612
Jose Fermin,STL,2B,26,21,51,2,12,1,0,0,4,0,1,6,8,2,0,2,.235,.339,.255,.594
Tyler Wade,OAK,3B,30,26,51,8,13,1,1,0,2,4,0,4,13,0,0,0,.255,.309,.314,.623
Kyle Lewis,ARI,DH,30,16,51,2,8,2,0,1,2,0,0,3,21,0,0,0,.157,.204,.255,.459
Ernie Clement,TOR,3B,29,30,50,7,19,1,1,1,10,1,0,1,4,0,1,0,.380,.385,.500,.885
C.J. Cron,LAA,1B,35,15,50,7,10,0,0,1,5,0,0,4,15,0,0,0,.200,.259,.260,.519
Paul DeJong,SF,SS,31,18,49,2,9,2,0,1,5,0,0,0,16,0,1,0,.184,.180,.286,.466
Bobby Dalbec,BOS,1B,30,21,49,6,10,2,0,1,1,1,0,4,28,0,0,0,.204,.264,.306,.570
Terrin Vavra,BAL,2B,28,27,49,9,12,0,0,0,5,1,0,5,12,2,0,0,.245,.315,.245,.560
Carlos Perez,CWS,C,28,27,49,5,10,4,0,1,3,0,0,4,11,0,0,0,.204,.264,.347,.611
Derek Hill,WAS,OF,29,13,47,3,8,1,0,0,1,1,0,3,11,0,0,0,.170,.220,.191,.411
Taylor Trammell,SEA,OF,27,22,46,7,6,0,0,3,11,0,1,9,22,0,0,1,.130,.286,.326,.612
Paul DeJong,TOR,SS,31,13,44,1,3,0,0,0,1,0,0,0,18,0,0,0,.068,.068,.068,.136
Jurickson Profar,SD,OF,32,14,44,4,13,2,0,1,7,0,0,5,4,0,0,0,.295,.367,.409,.776
Bryce Johnson,SF,OF,29,30,43,7,7,1,0,1,3,3,0,4,15,0,1,0,.163,.229,.256,.485
