Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
Austin Hedges,TEX,C,32,17,24,1,5,0,0,0,2,0,0,0,8,1,0,0,.208,.208,.208,.416
Dalton Guthrie,PHI,OF,29,23,24,4,4,1,0,0,0,0,0,3,7,0,0,1,.167,.286,.208,.494
Buddy Kennedy,ARI,3B,26,10,24,1,4,1,0,0,1,0,0,4,6,0,0,1,.167,.310,.208,.518
Drew Ellis,PHI,3B,29,12,23,4,5,0,0,2,4,0,1,6,7,0,0,0,.217,.379,.478,.857
Greg Allen,NYY,OF,32,22,23,6,5,1,1,1,1,3,1,2,10,1,0,2,.217,.333,.478,.811
Brian Serven,COL,C,30,11,23,0,3,1,0,0,1,0,0,0,10,0,0,0,.130,.130,.174,.304
Darin Ruf,SF,DH,39,9,23,1,6,2,0,0,3,0,0,4,9,0,0,0,.261,.370,.348,.718
Cooper Hummel,SEA,OF,30,10,23,2,2,1,0,0,0,1,0,2,9,0,0,1,.087,.192,.130,.322
Josh Lester,BAL,1B,31,11,22,0,4,0,0,0,4,0,0,1,7,0,0,0,.182,.217,.182,.399
Yonny Hernandez,LAD,3B,27,14,22,5,3,1,0,0,4,0,0,2,8,1,1,1,.136,.231,.182,.413
Tommy La Stella,SEA,DH,36,12,21,2,4,1,0,0,2,0,0,3,5,0,0,0,.190,.292,.238,.530
Austin Meadows,DET,OF,30,6,21,0,5,1,0,0,2,0,0,0,3,0,0,0,.238,.238,.286,.524
Luis Torrens,CHC,C,29,13,20,1,5,1,0,0,3,0,0,1,8,0,0,1,.250,.318,.300,.618
Juniel Querecuto,STL,2B,32,9,20,2,2,1,0,0,0,0,0,1,6,0,0,0,.100,.143,.150,.293
Brian O'Keefe,SEA,C,32,8,19,0,2,2,0,0,2,0,0,2,7,0,0,0,.105,.190,.211,.401
Isan Diaz,SF,2B,29,6,19,0,1,0,0,0,1,0,0,2,7,0,0,0,.053,.143,.053,.196
Johan Camargo,SF,2B,31,8,18,0,4,0,0,0,2,0,0,1,4,0,0,1,.222,.300,.222,.522
Abraham Toro,MIL,3B,28,9,18,4,8,0,0,2,9,0,0,2,5,0,0,1,.444,.524,.778,1.302
Ryan Kreidler,DET,SS,27,11,18,2,2,0,0,0,0,0,0,0,7,0,0,0,.111,.111,.111,.222
Vinny Capra,PIT,3B,29,9,18,3,3,1,0,0,1,0,0,2,5,1,0,0,.167,.250,.222,.472
Cesar Salazar,HOU,C,29,13,18,1,2,0,0,0,0,0,0,1,6,0,0,0,.111,.158,.111,.269
Alexander Canario,CHC,OF,25,6,17,1,5,1,1,1,6,0,0,0,8,0,0,0,.294,.294,.647,.941
Jorge Alfaro,BOS,C,32,8,17,0,2,0,0,0,0,0,0,2,3,0,0,1,.118,.250,.118,.368
Weston Wilson,PHI,OF,30,8,16,5,5,0,0,1,2,3,1,6,5,0,0,0,.313,.500,.500,1.000
Chadwick Tromp,ATL,C,30,6,16,1,2,1,0,0,1,0,0,0,7,0,0,0,.125,.125,.188,.313
Alfonso Rivas,SD,1B,28,8,15,2,3,2,0,0,1,0,0,2,7,0,0,0,.200,.294,.333,.627
Abraham Almonte,NYM,OF,36,8,15,1,1,1,0,0,0,0,0,1,8,0,0,0,.067,.125,.133,.258
Ben Gamel,SD,OF,33,6,15,2,3,1,0,0,2,0,0,0,2,0,0,0,.200,.200,.267,.467
Roberto Perez,SF,C,36,5,15,0,2,0,0,0,1,0,0,2,6,0,0,0,.133,.235,.133,.368
Jordan Luplow,TOR,OF,31,7,14,1,3,0,0,0,1,0,0,3,8,0,0,0,.214,.353,.214,.567
Eli White,ATL,OF,31,6,14,1,1,0,0,0,0,0,0,2,7,0,0,1,.071,.235,.071,.306
Seby Zavala,ARI,C,31,7,14,2,5,1,0,0,2,0,0,2,2,0,0,1,.357,.471,.429,.900
Pete Crow-Armstrong,CHC,OF,23,13,14,3,0,0,0,0,1,2,2,3,7,2,0,0,.000,.176,.000,.176
Taylor Kohlwey,SD,OF,31,5,13,0,2,0,0,0,0,0,0,0,5,0,0,0,.154,.154,.154,.308
Forrest Wall,ATL,OF,29,15,13,6,6,2,0,1,2,5,1,2,4,0,0,0,.462,.533,.846,1.379
Manny Pina,OAK,C,38,4,12,1,3,0,0,1,1,0,0,0,3,0,0,0,.250,.250,.500,.750
Austin Wynns,LAD,C,34,5,11,0,2,1,0,0,2,0,0,1,5,0,0,0,.182,.250,.273,.523
Anthony Bemboom,BAL,C,35,6,11,0,2,0,0,0,0,0,0,2,2,0,0,0,.182,.308,.182,.490
Irving Lopez,STL,2B,30,5,11,0,0,0,0,0,1,0,0,0,5,0,1,0,.000,.000,.000,.000
Eric Haase,CLE,C,32,3,10,0,2,0,0,0,0,1,0,1,3,0,0,0,.200,.273,.200,.473
Ehire Adrianza,ATL,OF,35,5,10,0,0,0,0,0,0,0,0,1,4,0,0,0,.000,.091,.000,.091
Luke Williams,LAD,SS,28,4,10,0,1,0,0,0,0,1,0,0,3,0,0,0,.100,.100,.100,.200
Mark Mathias,SF,DH,30,5,10,1,2,0,0,0,2,0,0,0,4,0,0,0,.200,.200,.200,.400
Jahmai Jones,MIL,DH,27,7,10,2,2,1,0,0,3,1,0,1,5,0,0,0,.200,.273,.300,.573
Luke Williams,ATL,SS,28,7,9,1,0,0,0,0,0,3,0,0,4,0,0,0,.000,.000,.000,.000
Raimel Tapia,TB,OF,31,5,9,4,3,0,0,0,0,2,0,2,1,0,0,0,.333,.455,.333,.788
Tyler Heineman,PIT,C,34,3,9,1,1,0,0,0,0,1,0,1,1,0,0,0,.111,.200,.111,.311
David Dahl,SD,OF,31,4,9,1,1,0,0,1,1,0,0,0,2,0,0,0,.111,.111,.444,.555
Cal Stevenson,SF,OF,28,6,9,1,0,0,0,0,0,0,0,3,2,0,0,0,.000,.250,.000,.250
Jacob Amaya,MIA,SS,26,4,9,1,2,0,0,0,2,1,0,0,1,0,0,0,.222,.222,.222,.444
Livan Soto,LAA,SS,25,4,9,2,2,0,0,0,0,0,0,3,2,0,0,0,.222,.417,.222,.639
Luis Torrens,SEA,C,29,5,8,0,2,2,0,0,1,0,0,0,1,0,0,0,.250,.250,.500,.750
Michael Perez,NYM,C,32,3,8,1,4,1,0,0,0,0,0,0,1,0,0,0,.500,.500,.625,1.125
Cole Tucker,COL,OF,29,5,8,2,4,0,0,0,2,0,0,1,2,0,0,1,.500,.600,.500,1.100
Kevin Padlo,LAA,3B,29,3,8,1,1,1,0,0,0,0,0,0,0,0,0,0,.125,.125,.250,.375
Jonathan Ornelas,TEX,SS,25,8,7,2,1,0,0,0,0,0,0,0,4,0,0,1,.143,.250,.143,.393
Rylan Bannon,HOU,3B,29,2,6,0,0,0,0,0,0,0,0,0,3,0,0,0,.000,.000,.000,.000
Drew Maggi,PIT,3B,36,3,6,1,2,1,0,0,1,0,0,0,1,0,0,0,.333,.333,.500,.833
Adam Engel,SD,OF,33,5,6,0,0,0,0,0,0,0,1,0,2,0,0,0,.000,.000,.000,.000
AJ Pollock,SF,OF,37,5,6,0,0,0,0,0,0,0,0,0,2,0,0,0,.000,.000,.000,.000
Gary Sanchez,NYM,C,32,3,6,0,1,0,0,0,1,0,0,0,3,0,1,0,.167,.143,.167,.310
Cam Eden,TOR,OF,27,5,6,1,1,0,0,0,0,0,0,0,2,0,0,0,.167,.167,.167,.334
Tyler Cropley,KC,C,29,2,6,0,1,0,0,0,1,0,0,0,2,0,1,0,.167,.143,.167,.310
Caleb Hamilton,BOS,C,30,4,5,0,0,0,0,0,0,0,0,1,5,0,0,0,.000,.167,.000,.167
Jake Marisnick,LAD,OF,34,4,5,0,2,0,0,0,0,0,1,0,0,0,0,1,.400,.500,.400,.900
Matt Reynolds,CIN,3B,34,2,5,1,1,0,0,0,0,0,0,0,3,0,0,0,.200,.200,.200,.400
Isan Diaz,DET,2B,29,2,5,0,0,0,0,0,0,0,0,0,2,0,0,0,.000,.000,.000,.000
Matt Beaty,SF,1B,32,4,5,1,1,0,0,0,1,0,0,0,2,0,0,0,.200,.200,.200,.400
Tristan Gray,TB,1B,29,2,5,1,2,0,0,1,1,0,0,0,0,0,0,0,.400,.400,1.000,1.400
Michael Siani,STL,OF,26,5,5,0,0,0,0,0,0,1,0,0,1,0,0,0,.000,.000,.000,.000
Jeter Downs,WAS,SS,27,6,5,4,2,0,0,0,1,2,0,4,1,0,0,0,.400,.667,.400,1.067
Cal Mitchell,PIT,OF,26,2,4,0,0,0,0,0,0,0,0,1,1,0,0,0,.000,.200,.000,.200
Connor Kaiser,COL,SS,28,3,4,0,0,0,0,0,0,0,0,0,2,0,0,0,.000,.000,.000,.000
Braden Shewmake,ATL,SS,27,2,4,0,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000
Zack Collins,CLE,C,30,2,4,0,2,0,0,0,0,0,0,2,2,0,0,0,.500,.667,.500,1.167
Meibrys Viloria,CLE,C,28,10,3,0,0,0,0,0,0,0,0,1,0,0,0,0,.000,.250,.000,.250
Tres Barrera,STL,C,30,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
Austin Wynns,SF,C,34,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,.000,.000,.000,.000
Chris Okey,LAA,C,30,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,.000,.000,.000,.000
Jake Marisnick,CWS,OF,34,9,2,1,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000
Billy Hamilton,CWS,OF,34,3,2,2,0,0,0,0,0,2,0,0,1,0,0,0,.000,.000,.000,.000
Alejo Lopez,CIN,2B,29,1,2,1,1,1,0,0,1,0,0,0,1,0,0,0,.500,.500,1.000,1.500
Chandler Seagle,SD,C,29,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
Diego A. Castillo,ARI,OF,27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
Mason McCoy,TOR,SS,30,6,1,2,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000
Michael Siani,CIN,OF,26,3,0,1,0,0,0,0,0,0,1,1,0,0,0,0,.000,1.000,.000,1.000
