Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,Marcus Semien,32,TEX,AL,7.7,162,753,670,122,185,40,4,29,100,14,3,72,110,.276,.348,.478,.826,126,.364,131,320,5,5,0,5,1,*4,ASMVP-3SS,semiema01
2,Ronald Acuña Jr.,25,ATL,NL,8.4,159,735,643,149,217,35,4,41,106,73,14,80,84,.337,.416,.596,1.012,171,.444,175,383,15,9,0,3,3,*9/D,ASMVP-1SS,acunaro01
3,Freddie Freeman*,33,LAD,NL,6.8,161,730,637,131,211,59,2,29,102,23,1,72,121,.331,.410,.567,.976,163,.425,167,361,14,16,0,5,12,*3,ASMVP-3,freemfr01
4,Alex Bregman,29,HOU,AL,4.9,161,724,622,103,163,28,4,25,98,3,1,92,87,.262,.363,.441,.804,122,.354,124,274,22,8,0,2,1,*5/D,MVP-22,bregmal01
5,Nathaniel Lowe*,27,TEX,AL,2.9,161,724,623,89,163,38,3,17,82,1,0,93,165,.262,.360,.414,.775,114,.344,117,258,22,5,0,3,2,*3,GG,lowena01
6,Matt Olson*,29,ATL,NL,7.5,162,720,608,127,172,27,3,54,139,1,0,104,167,.283,.389,.604,.993,164,.415,163,367,13,4,0,4,8,*3,ASMVP-4SS,olsonma02
7,Kyle Schwarber*,30,PHI,NL,0.7,160,720,585,108,115,19,1,47,104,0,2,126,215,.197,.343,.474,.817,121,.349,119,277,4,6,0,3,5,7D,MVP-19,schwaky01
8,Steven Kwan*,25,CLE,AL,3.2,158,718,638,93,171,36,7,5,54,21,3,70,75,.268,.340,.370,.710,97,.319,97,236,9,3,1,6,2,*7/DH,GG,kwanst01
9,Austin Riley,26,ATL,NL,6.0,159,715,636,117,179,32,3,37,97,3,1,59,172,.281,.345,.516,.861,130,.367,129,328,18,9,0,11,4,*5,ASMVP-7SS,rileyau01
10,Julio Rodríguez,22,SEA,AL,5.5,155,714,654,102,180,37,2,32,103,37,10,47,175,.275,.333,.485,.818,130,.359,133,317,14,11,0,2,6,*8/D,ASMVP-4SS,rodriju01
11,Juan Soto*,24,SDP,NL,5.3,162,708,568,97,156,32,1,35,109,12,5,132,129,.275,.410,.519,.930,155,.398,155,295,18,2,1,5,11,*7/DH,ASMVP-6SS,sotoju01
