Hashcode,Player_Season_Key,Player,Age,Team,WAR,W,L,ERA,G,GS,CG,SHO,SV,IP,H,R,ER,HR,BB,SO,HBP,BK,WP,WHIP,Season,MLS,Salary,League,Teams,Leagues,Projection_Method,Trend_Years_Used,Years_Included,AB,2B,3B,OBP,Total_OB,Total_Outs,AVG_faced,Game_Fatigue_Factor,Condition,Status,Injured Days,BS,HLD,E,Age_Adjustment,Injury_Rate_Adj,Injury_Perf_Adj,Streak_Adjustment,Def_WAR,City,Mascot,Injury Description,Sim_WAR,AVG,SLG,OPS
289666,289666_2025,Logan Gilbert,29,SEA,2.1,0,1,4.821428571428572,2,2,0,0,0,9.333333333333332,10,0,5,2,2,6,0,0.0,0,1.2857142857142858,2026,2.144,4050000.0,AL,['SEA'],['AL'],Recent_Year,3,"[2023, 2024, 2025]",38.0,2,0,0.3,0,28,0.0,0.0,63.0088910441805,Active,0,0,0,0,0.0,0.0,0.0,0.006843545815207443,-1.107112407167666,SEA,,,1.0306512352059862,0.2631578947368421,0.47368421052631576,0.7736842105263158
746697,746697_2025,George Kirby,28,SEA,0.8,0,1,3.8571428571428577,2,2,0,0,0,9.333333333333332,11,0,4,1,2,9,0,0.0,0,1.392857142857143,2026,1.151,798600.0,AL,['SEA'],['AL'],Recent_Year,3,"[2023, 2024, 2025]",39.0,2,0,0.3170731707317073,0,28,0.0,0.0,39.30712977618295,Active,0,0,0,0,0.0008,0.0,0.0,0.004297281364454353,-2.270623808081538,SEA,,,0.5452218902805424,0.28205128205128205,0.41025641025641024,0.7273295809881175
733452,733452_2025,José Berríos,32,TOR,1.3,0,0,1.6875000000000007,1,1,0,0,0,5.333333333333332,5,0,1,1,2,7,0,1.0,0,1.3125000000000002,2026,0.0,740000.0,AL,['TOR'],['AL'],Trend,3,"[2023, 2024, 2025]",21.0,1,0,0.30434782608695654,0,16,0.0,0.0,62.91636260886272,Active,0,0,0,0,-0.0531,0.0,0.0,-0.0022589829520821393,-0.3069770452150078,TOR,,,0.7295380199486672,0.23809523809523808,0.42857142857142855,0.7329192546583851
155016,155016_2025,Spencer Strider,27,ATL,1.0,1,0,5.869565217391305,2,2,0,0,0,7.666666666666666,7,0,5,2,8,9,0,1.0,0,1.956521739130435,2026,2.003,1000000.0,NL,['ATL'],['NL'],Recent_Year,3,"[2023, 2024, 2025]",30.0,1,0,0.39473684210526316,0,23,0.0,0.0,79.06436771294864,Active,0,0,0,0,0.0032,0.0,0.0,0.018834130510909843,-0.459166971357146,ATL,,,0.32910037042741025,0.23333333333333334,0.4666666666666667,0.8614035087719298
336996,336996_2025,Kevin Gausman,35,TOR,3.8,1,0,0.8437499999999999,2,2,0,0,0,10.666666666666668,8,0,1,0,4,8,0,2.0,0,1.1249999999999998,2026,9.151,24000000.0,AL,['TOR'],['AL'],Trend,3,"[2023, 2024, 2025]",40.0,0,0,0.2727272727272727,0,32,0.0,0.0,18.145665898424923,Active,0,0,0,0,-0.2124,0.0,0.0,-0.0025204678144500397,-0.5395710358356549,TOR,,,2.205327835828064,0.2,0.2,0.4727272727272727
921092,921092_2025,Sandy Alcantara,30,MIA,0.0,0,1,7.714285714285717,3,3,0,0,0,11.666666666666664,20,0,10,5,6,9,0,2.0,0,2.228571428571429,2026,5.1,9300000.0,NL,['MIA'],['NL'],Recent_Year,2,"[2023, 2025]",55.0,1,0,0.4262295081967213,0,35,0.0,0.0,14.470687378810766,Active,0,0,0,0,-0.0059,0.0,0.0,-0.0009009231225195902,-2.445929458827369,MIA,,,-0.5600305476082207,0.36363636363636365,0.6545454545454545,1.0807749627421759
620550,620550_2025,Lucas Giolito,31,BOS,2.1,2,0,2.5312499999999996,2,2,0,0,0,10.666666666666668,9,0,3,1,5,5,0,0.0,0,1.3124999999999998,2026,6.08,18000000.0,AL,"['CLE', 'BOS']",['AL'],Recent_Year,2,"[2023, 2025]",41.0,2,1,0.30434782608695654,0,32,0.0,0.0,57.46659155197965,Active,0,0,0,0,-0.0236,0.0,0.0,-0.003828419020213377,0.0973861820578414,BOS,,,1.1363616800993595,0.21951219512195122,0.3902439024390244,0.694591728525981
813348,813348_2025,Sonny Gray,36,STL,1.4,1,0,3.0,3,3,0,0,0,15.0,17,0,5,2,0,12,0,0.0,0,1.1333333333333333,2026,10.061,10000000.0,NL,"['MIN', 'STL']","['AL', 'NL']",Trend,3,"[2023, 2024, 2025]",62.0,4,0,0.27419354838709675,0,45,0.0,0.0,1.2671648509438143,Active,0,0,0,0,-0.2890999999999999,0.0,0.0,-0.004355146876885612,-2.7074935555085,STL,,,0.9125463043462383,0.27419354838709675,0.43548387096774194,0.7096774193548387
935443,935443_2025,Patrick Corbin,36,TEX,-0.5,0,1,4.0,2,2,0,0,0,9.0,12,0,4,0,1,5,0,0.0,0,1.4444444444444444,2026,11.105,35416667.0,AL,"['WSN', 'TEX']","['NL', 'AL']",Trend,3,"[2023, 2024, 2025]",39.0,1,0,0.325,0,27,0.0,0.0,61.35857955844489,Active,0,0,0,0,-0.2890999999999999,0.0,0.0,-0.01037864480526141,-2.566987454762803,TEX,,,-0.03657083647335202,0.3076923076923077,0.3333333333333333,0.6583333333333333
8975,8975_2025,Blake Snell,33,LAD,1.3,1,0,2.571428571428571,9,0,0,0,0,21.0,20,0,6,0,4,23,0,0.0,0,1.1428571428571428,2026,7.072,32000000.0,NL,"['SDP', 'SFG', 'LAD']",['NL'],Recent_Year,3,"[2023, 2024, 2025]",83.0,4,0,0.27586206896551724,0,63,0.0,0.0,37.014239902443215,Active,0,0,0,0,-0.0944,0.0,0.0,0.006604938922054628,-0.5321129030547074,LAD,,,1.4881028510864893,0.24096385542168675,0.2891566265060241,0.5650186954715413
