Hashcode,Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS,League,Teams,Leagues,Season,Total_OB,Total_Outs,Game_Fatigue_Factor,Condition,Status,Injured Days
29291,Nick Castellanos,PHI,OF,32,42,157,19,32,3,1,4,16,1,2,14,43,0,0,1,0.204,0.273,0.312,0.585,NL,['PHI'],['NL'],[2024],47,126,0,100,Active,0
345745,Jeremy Pena,HOU,SS,26,41,157,25,53,6,1,4,16,6,2,7,22,0,0,4,0.338,0.38,0.464,0.844,AL,['HOU'],['AL'],[2024],64,108,0,100,Active,0
808661,Corbin Carroll,ARI,OF,23,40,157,17,31,4,0,2,14,8,3,19,31,0,1,2,0.197,0.292,0.261,0.552,AL,['ARI'],['AL'],[2024],52,128,0,100,Active,0
441426,Vladimir Guerrero,TOR,1B,25,41,156,16,43,6,0,4,19,1,0,24,34,0,0,1,0.276,0.375,0.391,0.766,AL,['TOR'],['AL'],[2024],68,114,0,100,Active,0
303722,Jazz Chisholm,MIA,OF,26,42,156,18,40,8,2,5,21,8,2,17,43,0,0,1,0.256,0.333,0.429,0.762,NL,['MIA'],['NL'],[2024],58,117,0,100,Active,0
840432,Nico Hoerner,CHC,SS,27,41,156,25,42,11,1,2,12,5,2,18,16,0,1,5,0.269,0.363,0.391,0.754,NL,['CHC'],['NL'],[2024],65,119,0,100,Active,0
325629,Brendan Donovan,STL,2B,27,39,155,18,33,8,1,4,19,0,2,15,24,0,3,5,0.213,0.302,0.354,0.655,NL,['STL'],['NL'],[2024],53,127,0,100,Active,0
852341,Anthony Rizzo,NYY,1B,34,41,155,22,41,5,0,7,22,0,0,13,33,0,0,4,0.265,0.337,0.432,0.769,AL,['NYY'],['AL'],[2024],58,118,0,100,Active,0
860547,Thairo Estrada,SF,2B,28,42,155,17,38,8,1,6,21,1,1,5,32,0,1,1,0.245,0.273,0.425,0.698,NL,['SF'],['NL'],[2024],44,118,0,100,Active,0
991968,Gleyber Torres,NYY,2B,27,42,154,17,32,4,0,2,10,3,1,16,41,1,1,2,0.208,0.29,0.272,0.562,AL,['NYY'],['AL'],[2024],50,124,0,100,Active,0
580537,Jake Cronenworth,SD,2B,30,40,154,20,43,10,1,7,27,1,2,16,28,0,2,2,0.279,0.354,0.493,0.847,NL,['SD'],['NL'],[2024],61,113,0,100,Active,0
992131,Manny Machado,SD,3B,31,39,154,20,35,5,0,5,22,1,0,12,38,0,0,0,0.227,0.283,0.357,0.639,NL,['SD'],['NL'],[2024],47,119,0,100,Active,0
228180,Nolan Arenado,STL,3B,33,40,153,16,41,9,0,3,21,0,1,13,28,0,3,2,0.268,0.333,0.385,0.718,NL,['STL'],['NL'],[2024],56,114,0,100,Active,0
199503,Aaron Judge,NYY,OF,32,42,153,21,36,10,0,10,27,2,0,31,47,0,1,2,0.235,0.37,0.496,0.866,AL,['NYY'],['AL'],[2024],69,119,0,100,Active,0
396326,Corey Seager,TEX,SS,30,39,153,17,36,3,0,4,15,0,0,17,29,0,1,1,0.235,0.315,0.333,0.648,AL,['TEX'],['AL'],[2024],54,118,0,100,Active,0
516184,Kyle Schwarber,PHI,OF,31,40,153,30,33,1,0,9,25,2,1,24,60,0,4,1,0.216,0.325,0.398,0.723,NL,['PHI'],['NL'],[2024],58,121,0,100,Active,0
196904,Ryan McMahon,COL,3B,29,41,153,17,46,9,0,5,21,0,4,22,50,0,2,0,0.301,0.388,0.457,0.845,NL,['COL'],['NL'],[2024],68,107,0,100,Active,0
398452,Andres Gimenez,CLE,2B,25,39,153,22,38,8,1,2,21,5,2,9,25,1,2,7,0.248,0.319,0.352,0.671,AL,['CLE'],['AL'],[2024],54,122,0,100,Active,0
870242,Alec Bohm,PHI,3B,27,41,152,21,50,15,1,4,33,2,1,15,27,0,1,2,0.329,0.396,0.519,0.915,NL,['PHI'],['NL'],[2024],67,104,0,100,Active,0
468159,Pete Alonso,NYM,1B,29,40,152,24,35,8,0,9,22,1,0,16,32,0,1,3,0.23,0.315,0.46,0.775,NL,['NYM'],['NL'],[2024],54,120,0,100,Active,0
708706,Eugenio Suarez,ARI,3B,32,41,152,18,34,9,0,3,23,1,0,12,46,0,3,5,0.224,0.301,0.342,0.643,AL,['ARI'],['AL'],[2024],51,123,0,100,Active,0
238037,Christian Walker,ARI,1B,33,42,151,29,40,5,0,7,27,1,2,26,43,0,3,3,0.265,0.383,0.437,0.82,AL,['ARI'],['AL'],[2024],69,114,0,100,Active,0
