Rk,Player,Age,Team,Lg,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional
131,Sonny Gray,36,BOS,AL,0.0,2,1,.667,4.30,5,5,0,0,0,0,23.0,25,12,11,3,5,0,13,1,1,0,99,97,4.47,1.304,9.8,1.2,2.0,5.1,2.60,,grayso01
132,Shane McClanahan*,29,TBR,AL,0.2,2,2,.500,3.91,5,5,0,0,0,0,23.0,16,12,10,1,13,0,25,0,0,1,101,110,3.20,1.261,6.3,0.4,5.1,9.8,1.92,,mcclash01
133,Ben Brown,26,CHC,NL,0.4,1,1,.500,1.99,10,0,1,0,0,0,22.2,17,7,5,1,7,0,22,0,0,4,90,192,2.68,1.059,6.8,0.4,2.8,8.7,3.14,,brownbe02
134,Roki Sasaki,24,LAD,NL,-0.4,1,2,.333,6.35,5,5,0,0,0,0,22.2,28,16,16,7,13,0,22,2,0,3,108,64,7.18,1.809,11.1,2.8,5.2,8.7,1.69,,sasakro01
135,Taijuan Walker,33,PHI,NL,-0.7,1,4,.200,9.13,5,4,0,0,0,0,22.2,36,25,23,8,11,0,17,1,0,0,115,48,7.79,2.074,14.3,3.2,4.4,6.8,1.55,,walketa01
136,Sean Manaea*,34,NYM,NL,-0.5,0,0,,6.55,7,0,5,0,0,0,22.0,26,16,16,3,10,0,23,2,0,1,103,61,4.44,1.636,10.6,1.2,4.1,9.4,2.30,,manaese01
137,Brad Lord,26,WSN,NL,0.3,1,0,1.000,3.74,10,0,2,0,0,0,21.2,19,10,9,3,4,1,14,2,0,1,90,110,4.46,1.062,7.9,1.2,1.7,5.8,3.50,,lordbr02
138,Ryan Weiss,29,HOU,AL,-0.4,0,2,.000,6.65,8,2,3,0,0,0,21.2,27,17,16,6,16,0,25,0,0,0,106,65,6.63,1.985,11.2,2.5,6.6,10.4,1.56,,weissry01
139,Chris Bassitt,37,BAL,AL,-0.4,1,2,.333,6.75,5,5,0,0,0,0,21.1,31,17,16,3,13,0,10,3,0,1,108,63,6.26,2.063,13.1,1.3,5.5,4.2,0.77,,bassich01
140,Kyle Freeland*,33,COL,NL,0.6,1,2,.333,3.48,4,4,0,0,0,0,20.2,18,8,8,2,5,0,17,4,0,1,87,138,4.04,1.113,7.8,0.9,2.2,7.4,3.40,,freelky01
141,Mick Abel,24,MIN,AL,0.5,1,2,.333,3.98,4,3,0,0,0,0,20.1,22,9,9,0,10,1,23,3,0,0,93,112,2.77,1.574,9.7,0.0,4.4,10.2,2.30,,abelmi01
142,Ryan Feltner,29,COL,NL,0.0,1,1,.500,6.30,5,5,0,0,0,0,20.0,22,15,14,5,8,0,17,0,0,0,88,76,5.87,1.500,9.9,2.3,3.6,7.7,2.13,,feltnry01
143,Kodai Senga,33,NYM,NL,-0.8,0,4,.000,9.00,5,5,0,0,0,0,20.0,26,21,20,5,13,0,23,1,0,0,97,45,6.17,1.950,11.7,2.3,5.9,10.4,1.77,,sengako01
144,Jesse Scholtens,32,TBR,AL,0.4,2,1,.667,3.20,4,1,1,0,0,0,19.2,16,7,7,2,6,0,14,2,0,0,82,135,4.24,1.119,7.3,0.9,2.7,6.4,2.33,,scholje01
145,Kai-Wei Teng,27,HOU,AL,0.5,1,2,.333,2.75,12,1,1,0,0,0,19.2,14,6,6,3,6,0,18,0,0,2,77,158,4.19,1.017,6.4,1.4,2.7,8.2,3.00,,tengka01
146,Patrick Corbin*,36,TOR,AL,0.4,0,0,,3.72,4,4,0,0,0,0,19.1,18,8,8,2,6,0,16,2,0,0,79,121,4.05,1.241,8.4,0.9,2.8,7.4,2.67,,corbipa01
147,Luis Gil,28,NYY,AL,-0.1,1,2,.333,6.05,4,4,0,0,0,0,19.1,15,13,13,6,11,0,9,3,0,2,85,71,8.39,1.345,7.0,2.8,5.1,4.2,0.82,,gillu01
148,Tobias Myers,27,NYM,NL,0.4,0,1,.000,2.33,9,1,2,0,0,0,19.1,12,7,5,2,3,1,16,0,0,0,71,173,3.27,0.776,5.6,0.9,1.4,7.4,5.33,,myersto01
149,Javier Assad,28,CHC,NL,-0.5,2,1,.667,7.58,5,3,1,0,0,0,19.0,22,16,16,3,6,0,11,0,0,0,84,51,4.96,1.474,10.4,1.4,2.8,5.2,1.83,,assadja01
150,Brent Suter*,36,LAA,AL,0.4,1,1,.500,3.32,11,1,5,0,0,0,19.0,16,8,7,3,8,1,18,0,0,1,75,131,4.54,1.263,7.6,1.4,3.8,8.5,2.25,,suterbr01
151,Jovani Morán*,29,BOS,AL,0.3,0,0,,2.41,9,0,3,0,0,0,18.2,10,5,5,2,10,1,16,1,0,0,76,175,4.56,1.071,4.8,1.0,4.8,7.7,1.60,,moranjo01
152,Yohan Ramírez,31,PIT,NL,1.0,2,1,.667,1.93,13,0,6,0,0,1,18.2,12,6,4,1,10,5,21,1,0,2,77,222,3.33,1.179,5.8,0.5,4.8,10.1,2.10,,ramiryo01
153,Max Scherzer,41,TOR,AL,-0.8,1,3,.250,9.64,5,5,0,0,0,0,18.2,22,20,20,7,8,0,10,1,0,0,84,47,8.37,1.607,10.6,3.4,3.9,4.8,1.25,,scherma01
154,Aaron Ashby*,28,MIL,NL,0.4,5,0,1.000,2.45,15,1,0,0,0,0,18.1,15,5,5,1,11,0,30,0,0,2,80,170,2.35,1.418,7.4,0.5,5.4,14.7,2.73,,ashbyaa01
155,Tyler Phillips,28,MIA,NL,0.8,0,0,,1.47,10,0,7,0,0,2,18.1,13,4,3,1,12,0,19,1,0,3,80,288,3.88,1.364,6.4,0.5,5.9,9.3,1.58,,phillty01
156,Jose Quintana*,37,COL,NL,0.1,1,2,.333,4.91,4,4,0,0,0,0,18.1,17,12,10,4,11,0,9,0,1,0,82,98,6.77,1.527,8.3,2.0,5.4,4.4,0.82,,quintjo01
157,Spencer Arrighetti,26,HOU,AL,0.7,3,0,1.000,2.00,3,3,0,0,0,0,18.0,11,4,4,1,9,0,21,4,0,0,78,217,3.67,1.111,5.5,0.5,4.5,10.5,2.33,,arrigsp01
158,Matthew Boyd*,35,CHC,NL,-0.5,1,1,.500,7.00,4,4,0,0,0,0,18.0,21,15,14,1,5,0,26,0,0,0,78,55,1.78,1.444,10.5,0.5,2.5,13.0,5.20,,boydma01
159,Sean Newcomb*,33,CHW,AL,0.3,0,0,,4.00,14,0,1,0,0,0,18.0,20,8,8,0,8,2,17,0,0,0,80,110,2.56,1.556,10.0,0.0,4.0,8.5,2.13,,newcose01
160,Antonio Senzatela,31,COL,NL,1.2,1,0,1.000,0.50,8,0,3,0,0,2,18.0,8,2,1,0,4,0,18,0,0,0,64,965,1.78,0.667,4.0,0.0,2.0,9.0,4.50,,senzaan01
161,Ryan Watson,28,BOS,AL,-0.3,0,0,,6.62,13,0,7,0,0,0,17.2,22,13,13,3,7,0,11,2,0,0,83,64,5.61,1.642,11.2,1.5,3.6,5.6,1.57,,watsory01
162,Zach Agnos,25,COL,NL,-0.1,0,0,,5.71,9,0,4,0,0,2,17.1,21,12,11,2,7,1,16,0,0,0,79,85,3.98,1.615,10.9,1.0,3.6,8.3,2.29,,agnosza01
163,AJ Blubaugh,25,HOU,AL,-0.3,2,2,.500,6.23,12,0,1,0,0,0,17.1,16,12,12,3,11,0,14,0,0,2,79,70,5.66,1.558,8.3,1.6,5.7,7.3,1.27,,blubaaj01
164,Yoendrys Gómez,26,TBR,AL,-0.3,0,0,,6.23,9,0,7,0,0,1,17.1,19,13,12,5,10,2,13,1,1,1,82,70,7.27,1.673,9.9,2.6,5.2,6.8,1.30,,gomezyo01
165,Braydon Fisher,25,TOR,AL,0.5,2,0,1.000,1.59,15,1,4,0,0,0,17.0,12,5,3,1,6,1,16,1,0,1,63,284,3.24,1.059,6.4,0.5,3.2,8.5,2.67,,fishebr02
166,Hogan Harris*,29,ATH,AL,0.6,2,0,1.000,2.65,17,0,1,0,0,1,17.0,11,6,5,2,15,1,17,1,0,0,78,175,5.47,1.529,5.8,1.1,7.9,9.0,1.13,,harriho03
167,Shaun Anderson,31,LAA,AL,-0.2,1,0,1.000,5.94,9,0,4,0,0,0,16.2,17,13,11,3,8,0,12,1,0,1,73,73,5.64,1.500,9.2,1.6,4.3,6.5,1.50,,andersh01
168,Jacob Latz*,30,TEX,AL,0.7,0,1,.000,1.08,13,1,6,0,0,2,16.2,5,2,2,1,3,0,14,0,0,0,59,352,2.76,0.480,2.7,0.5,1.6,7.6,4.67,,latzja01
169,Ron Marinaccio,30,SDP,NL,0.0,1,0,1.000,5.40,11,0,4,0,0,0,16.2,19,10,10,2,5,0,12,0,0,3,70,78,4.14,1.440,10.3,1.1,2.7,6.5,2.40,,marinro01
170,Connor Phillips,25,CIN,NL,0.8,1,0,1.000,2.16,15,0,4,0,0,1,16.2,9,4,4,1,14,0,16,2,0,1,73,208,4.86,1.380,4.9,0.5,7.6,8.6,1.14,,phillco01
171,Cole Sulser,36,TBR,AL,0.2,1,0,1.000,3.24,12,1,3,0,0,1,16.2,19,8,6,1,8,2,13,0,0,2,76,134,3.78,1.620,10.3,0.5,4.3,7.0,1.63,,sulseco01
172,Ryan Zeferjahn,28,LAA,AL,-0.2,1,1,.500,5.51,11,0,1,0,0,0,16.1,11,11,10,0,8,0,21,2,0,0,70,79,2.38,1.163,6.1,0.0,4.4,11.6,2.63,,zeferry01
173,Gordon Graceffo,26,STL,NL,0.5,1,0,1.000,1.13,12,0,3,0,0,1,16.0,7,3,2,0,6,0,8,1,0,0,57,353,3.43,0.813,3.9,0.0,3.4,4.5,1.33,,gracego01
174,Isaac Mattson,30,PIT,NL,0.9,0,0,,1.13,16,0,2,0,0,0,16.0,12,2,2,0,7,0,12,0,0,0,65,382,2.93,1.188,6.8,0.0,3.9,6.8,1.71,,mattsis01
175,Tim Mayza*,34,PHI,NL,0.2,0,1,.000,3.94,14,0,3,0,0,0,16.0,10,8,7,2,6,1,16,1,0,1,66,111,4.06,1.000,5.6,1.1,3.4,9.0,2.67,,mayzati01
176,Adrián Morejón*,27,SDP,NL,-0.3,2,1,.667,5.63,14,0,1,0,0,1,16.0,18,11,10,1,5,0,17,0,0,0,71,75,2.74,1.438,10.1,0.6,2.8,9.6,3.40,,morejad01
177,Nick Pivetta,33,SDP,NL,0.1,1,2,.333,4.50,4,4,0,0,0,0,16.0,12,8,8,0,6,0,24,0,0,0,66,94,1.24,1.125,6.8,0.0,3.4,13.5,4.00,,pivetni01
178,Louis Varland,28,TOR,AL,0.9,1,1,.500,0.56,15,0,6,0,0,4,16.0,12,4,1,0,4,0,26,0,0,0,60,803,0.62,1.000,6.8,0.0,2.3,14.6,6.50,,varlalo01
179,Tyler Wells,31,BAL,AL,0.2,0,1,.000,3.38,12,0,4,0,0,0,16.0,14,7,6,2,4,0,17,1,0,1,65,126,3.56,1.125,7.9,1.1,2.3,9.6,4.25,,wellsty01
180,Joe Boyle,26,TBR,AL,-0.1,0,1,.000,5.17,3,3,0,0,0,0,15.2,11,11,9,1,6,0,16,0,0,1,66,84,3.05,1.085,6.3,0.6,3.4,9.2,2.67,,boylejo01
181,Taylor Clarke,33,ARI,NL,0.2,1,1,.500,2.87,15,0,1,0,0,0,15.2,11,6,5,1,1,1,7,2,0,0,60,151,3.63,0.766,6.3,0.6,0.6,4.0,7.00,,clarkta01
182,Spencer Miles,25,TOR,AL,0.2,1,0,1.000,2.87,9,0,4,0,0,0,15.2,13,7,5,2,5,0,15,0,0,0,65,157,3.82,1.149,7.5,1.1,2.9,8.6,3.00,,milessp01
183,Justin Sterner,29,ATH,AL,0.1,1,3,.250,4.02,14,0,4,0,0,0,15.2,19,9,7,2,5,1,18,0,0,0,71,116,3.44,1.532,10.9,1.1,2.9,10.3,3.60,,sternju01
184,Matt Svanson,27,STL,NL,-0.9,0,1,.000,10.34,14,0,3,0,0,0,15.2,21,18,18,4,12,0,16,1,0,2,79,38,6.88,2.106,12.1,2.3,6.9,9.2,1.33,,svansma01
185,Sam Bachman,26,LAA,AL,0.3,0,0,,3.52,11,0,0,0,0,0,15.1,10,6,6,1,10,0,15,0,0,1,63,124,3.97,1.304,5.9,0.6,5.9,8.8,1.50,,bachmsa01
186,Justin Bruihl*,29,STL,NL,-0.5,0,0,,5.87,16,0,0,0,0,0,15.1,12,12,10,1,11,0,7,3,0,0,70,68,5.79,1.500,7.0,0.6,6.5,4.1,0.64,,bruihju01
187,Kyle Hart*,33,SDP,NL,-0.2,0,1,.000,5.87,10,0,1,0,0,0,15.1,12,10,10,0,6,0,8,2,0,0,64,72,3.64,1.174,7.0,0.0,3.5,4.7,1.33,,hartky01
188,Brent Headrick*,28,NYY,AL,0.4,1,0,1.000,1.76,17,0,3,0,0,0,15.1,16,4,3,0,6,1,16,0,0,1,68,245,2.20,1.435,9.4,0.0,3.5,9.4,2.67,,headrbr01
189,Mason Miller,27,SDP,NL,0.8,1,0,1.000,1.17,15,0,14,0,0,10,15.1,6,2,2,0,3,0,29,0,0,2,54,359,-0.08,0.587,3.5,0.0,1.8,17.0,9.67,,millema03
190,Riley O'Brien,31,STL,NL,0.8,3,1,.750,1.17,15,0,10,0,0,8,15.1,11,3,2,0,1,0,17,2,0,3,58,338,1.49,0.783,6.5,0.0,0.6,10.0,17.00,,obrieri01
191,PJ Poulin*,29,WSN,NL,0.2,2,0,1.000,4.11,16,4,2,0,0,0,15.1,13,7,7,3,8,0,10,1,0,1,66,101,6.12,1.370,7.6,1.8,4.7,5.9,1.25,,poulipj01
192,Tyler Rogers,35,TOR,AL,0.7,1,1,.500,0.59,15,0,1,0,0,0,15.1,8,2,1,0,4,3,8,0,0,0,59,771,2.86,0.783,4.7,0.0,2.3,4.7,2.00,,rogerty01
193,Noah Schultz*,22,CHW,AL,0.3,1,1,.500,3.52,3,3,0,0,0,0,15.1,8,7,6,1,9,0,18,0,0,1,63,125,3.38,1.109,4.7,0.6,5.3,10.6,2.00,,schulno01
194,José Suarez*,28,ATL,NL,-0.2,0,1,.000,5.87,7,1,4,0,0,1,15.1,20,10,10,0,10,0,19,0,2,2,73,70,2.60,1.957,11.7,0.0,5.9,11.2,1.90,,suarejo01
195,Grant Taylor,24,CHW,AL,0.3,1,0,1.000,2.93,12,4,0,0,0,0,15.1,15,7,5,0,4,0,23,0,0,0,66,150,0.90,1.239,8.8,0.0,2.3,13.5,5.75,,taylogr02
196,Osvaldo Bido,30,2TM,2LG,-0.1,2,0,1.000,6.46,9,0,6,0,0,1,15.1,12,11,11,3,9,0,10,2,0,4,65,67,6.51,1.370,7.0,1.8,5.3,5.9,1.11,,bidoos01
196,Osvaldo Bido,30,ATL,NL,-0.1,1,0,1.000,6.30,6,0,4,0,0,1,10.0,7,7,7,1,5,0,6,2,0,4,41,67,5.32,1.200,6.3,0.9,4.5,5.4,1.20,,bidoos01
196,Osvaldo Bido,30,CHW,AL,0.0,1,0,1.000,6.75,3,0,2,0,0,0,5.1,5,4,4,2,4,0,4,0,0,0,24,68,8.74,1.688,8.4,3.4,6.8,6.8,1.00,,bidoos01
197,Drew Anderson,32,DET,AL,-0.3,0,0,,6.60,9,0,3,0,0,1,15.0,13,11,11,3,8,0,17,1,0,1,66,67,5.25,1.400,7.8,1.8,4.8,10.2,2.13,,anderdr02
198,Grant Anderson,29,MIL,NL,0.1,1,1,.500,3.60,15,0,3,0,0,0,15.0,10,7,6,2,6,1,13,0,0,0,57,116,4.32,1.067,6.0,1.2,3.6,7.8,2.17,,andergr01
199,Graham Ashcraft,28,CIN,NL,0.9,1,0,1.000,1.20,15,0,3,0,0,1,15.0,11,3,2,0,8,0,15,0,0,1,59,376,2.72,1.267,6.6,0.0,4.8,9.0,1.88,,ashcrgr01
200,Hoby Milner*,35,CHC,NL,0.3,0,0,,2.40,15,0,3,0,0,1,15.0,10,4,4,2,4,0,5,2,0,0,58,160,5.38,0.933,6.0,1.2,2.4,3.0,1.25,,milneho01
201,Jose A. Ferrer*,26,SEA,AL,0.4,0,0,,1.84,16,0,2,0,0,1,14.2,19,4,3,0,3,0,11,2,0,2,67,221,2.64,1.500,11.7,0.0,1.8,6.8,3.67,,ferrejo01
202,Kyle Finnegan,34,DET,AL,0.8,1,0,1.000,0.61,14,0,1,0,0,0,14.2,8,1,1,1,10,0,11,0,0,0,58,717,4.55,1.227,4.9,0.6,6.1,6.8,1.10,,finneky01
