Rk,Player,Age,Team,Lg,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional
217,JoJo Romero*,29,STL,NL,0.0,0,1,.000,3.77,14,0,1,0,0,0,14.1,13,6,6,2,5,0,9,1,0,0,60,106,4.93,1.256,8.2,1.3,3.1,5.7,1.80,,romerjo01
218,Eduard Bazardo,30,SEA,AL,0.6,2,1,.667,1.29,15,0,1,0,0,0,14.0,10,2,2,0,5,0,10,0,0,0,55,317,2.76,1.071,6.4,0.0,3.2,6.4,2.00,,bazared01
219,DL Hall*,27,MIL,NL,0.4,0,0,,1.93,12,1,4,0,0,0,14.0,9,3,3,1,11,0,17,1,0,3,60,217,4.19,1.429,5.8,0.6,7.1,10.9,1.55,,halldl01
220,Bryan Hudson*,29,CHW,AL,0.6,0,0,,1.29,15,2,3,0,0,1,14.0,12,3,2,0,8,1,18,1,1,0,61,343,2.48,1.429,7.7,0.0,5.1,11.6,2.25,,hudsobr01
221,Justin Lawrence,31,PIT,NL,-0.2,0,1,.000,5.14,14,0,2,0,0,0,14.0,12,10,8,3,5,0,16,2,0,1,61,84,5.12,1.214,7.7,1.9,3.2,10.3,3.20,,lawreju01
222,Cionel Pérez*,30,WSN,NL,-0.4,2,3,.400,7.07,15,0,3,0,0,0,14.0,14,12,11,2,11,0,9,0,0,1,65,59,6.05,1.786,9.0,1.3,7.1,5.8,0.82,,perezci01
223,Cade Smith,27,CLE,AL,0.1,2,0,1.000,3.86,14,0,12,0,0,7,14.0,16,7,6,1,4,1,17,0,0,4,61,112,2.48,1.429,10.3,0.6,2.6,10.9,4.25,,smithca06
224,Lake Bachar,31,MIA,NL,0.2,0,0,,3.29,8,0,2,0,0,0,13.2,8,5,5,2,7,0,16,0,0,0,56,130,4.22,1.098,5.3,1.3,4.6,10.5,2.29,,bachala01
225,Matt Festa,33,CLE,AL,-0.2,1,0,1.000,5.27,12,0,3,0,0,1,13.2,14,9,8,2,2,0,14,1,0,0,61,82,3.63,1.171,9.2,1.3,1.3,9.2,7.00,,festama01
226,Kevin Ginkel,32,ARI,NL,0.1,1,1,.500,3.95,13,0,2,0,0,0,13.2,13,6,6,1,3,0,18,0,0,0,57,110,2.09,1.171,8.6,0.7,2.0,11.9,6.00,,ginkeke01
227,Brant Hurter*,27,DET,AL,0.5,3,0,1.000,1.98,12,0,3,0,0,0,13.2,8,4,3,1,3,0,8,0,0,0,52,223,3.56,0.805,5.3,0.7,2.0,5.3,2.67,,hurtebr01
228,John King*,31,MIA,NL,0.8,1,0,1.000,0.66,15,0,3,0,0,0,13.2,2,1,1,1,5,1,13,2,0,0,50,649,3.70,0.512,1.3,0.7,3.3,8.6,2.60,,kingjo01
229,Jonathan Loáisiga,31,ARI,NL,0.2,0,1,.000,3.29,14,0,3,0,0,1,13.2,14,5,5,1,2,0,11,1,0,0,56,132,3.12,1.171,9.2,0.7,1.3,7.2,5.50,,loaisjo01
230,Erik Sabrowski*,28,CLE,AL,0.4,0,1,.000,2.63,16,0,1,0,0,0,13.2,7,4,4,1,6,0,22,0,0,0,54,164,2.17,0.951,4.6,0.7,4.0,14.5,3.67,,sabroer01
231,Matt Waldron,29,SDP,NL,-0.5,0,1,.000,9.88,3,3,0,0,0,0,13.2,22,15,15,3,5,0,8,2,1,0,69,43,6.34,1.976,14.5,2.0,3.3,5.3,1.60,,waldrma01
232,Jake Woodford,29,MIL,NL,0.0,1,0,1.000,4.61,8,0,6,0,0,1,13.2,19,7,7,1,2,0,9,0,0,0,62,91,3.19,1.537,12.5,0.7,1.3,5.9,4.50,,woodfja01
233,Scott Barlow,33,ATH,AL,0.3,0,0,,3.38,13,0,1,0,0,0,13.1,7,6,5,2,7,1,12,2,0,0,55,138,5.29,1.050,4.7,1.4,4.7,8.1,1.71,,barlosc01
234,Huascar Brazobán,36,NYM,NL,0.6,1,0,1.000,1.35,12,0,0,0,0,0,13.1,11,2,2,1,3,0,11,0,0,0,52,301,3.12,1.050,7.4,0.7,2.0,7.4,3.67,,brazohu01
235,Rico Garcia,32,BAL,AL,0.9,2,0,1.000,0.68,14,0,2,0,0,1,13.1,1,1,1,1,4,0,15,0,0,0,45,635,2.74,0.375,0.7,0.7,2.7,10.1,3.75,,garciri01
236,David Morgan,26,SDP,NL,-0.2,2,0,1.000,6.08,11,0,4,0,0,0,13.1,17,10,9,2,11,1,15,2,0,2,68,70,5.74,2.100,11.5,1.4,7.4,10.1,1.36,,morgada01
237,Steven Okert*,34,HOU,AL,0.3,0,0,,2.70,15,0,1,0,0,0,13.1,9,4,4,1,5,0,9,0,0,0,52,162,3.87,1.050,6.1,0.7,3.4,6.1,1.80,,okertst01
238,Wandy Peralta*,34,SDP,NL,0.1,0,0,,4.05,13,0,3,0,0,0,13.1,16,6,6,3,4,0,11,1,0,0,58,105,5.52,1.500,10.8,2.0,2.7,7.4,2.75,,peralwa01
239,Tanner Scott*,31,LAD,NL,0.3,0,1,.000,2.03,15,0,4,0,0,1,13.1,8,3,3,2,2,0,13,0,0,0,49,203,3.57,0.750,5.4,1.4,1.4,8.8,6.50,,scottta01
240,Ian Seymour*,27,TBR,AL,-0.4,0,0,,6.75,12,0,2,0,0,0,13.1,14,10,10,1,6,1,17,1,0,1,59,65,3.12,1.500,9.5,0.7,4.1,11.5,2.83,,seymoia01
241,George Soriano,27,STL,NL,-0.1,1,0,1.000,4.05,14,0,3,0,0,1,13.1,8,7,6,1,7,1,11,1,0,0,57,98,4.24,1.125,5.4,0.7,4.7,7.4,1.57,,soriage01
242,Jalen Beeks*,32,TEX,AL,0.3,1,1,.500,2.08,14,0,2,0,0,0,13.0,10,3,3,2,3,0,13,0,0,0,51,184,3.81,1.000,6.9,1.4,2.1,9.0,4.33,,beeksja02
243,Seranthony Domínguez,31,CHW,AL,0.2,2,3,.400,4.15,14,0,11,0,0,7,13.0,8,8,6,3,9,1,16,2,0,1,58,106,6.19,1.308,5.5,2.1,6.2,11.1,1.78,,dominse01
244,Jack Dreyer*,27,LAD,NL,0.1,1,1,.500,3.46,13,0,2,0,0,0,13.0,8,5,5,1,5,0,16,1,0,0,51,119,3.04,1.000,5.5,0.7,3.5,11.1,3.20,,dreyeja01
245,Jimmy Herget,32,COL,NL,0.6,0,1,.000,2.77,12,3,3,0,0,1,13.0,12,4,4,1,2,0,14,1,0,1,53,175,2.66,1.077,8.3,0.7,1.4,9.7,7.00,,hergeji01
246,Tyler Holton*,30,DET,AL,-0.1,0,1,.000,5.54,13,0,3,0,0,0,13.0,17,8,8,2,8,0,9,1,0,2,62,80,5.81,1.923,11.8,1.4,5.5,6.2,1.13,,holtoty01
247,Tyler Kinley,35,ATL,NL,0.4,3,1,.750,1.38,14,0,3,0,0,0,13.0,7,3,2,0,6,1,13,1,0,1,52,300,2.73,1.000,4.8,0.0,4.2,9.0,2.17,,kinlety01
248,Will Klein,26,LAD,NL,0.2,1,2,.333,2.77,9,0,1,0,0,0,13.0,14,4,4,0,4,2,15,0,0,1,55,149,1.73,1.385,9.7,0.0,2.8,10.4,3.75,,kleinwi01
249,Mark Leiter Jr.,35,ATH,AL,-0.2,0,1,.000,6.23,15,0,4,0,0,3,13.0,18,9,9,2,5,1,14,1,0,0,62,75,4.35,1.769,12.5,1.4,3.5,9.7,2.80,,leitema02
250,Albert Suárez,36,BAL,AL,-0.1,1,0,1.000,3.46,5,0,3,0,0,1,13.0,10,9,5,3,5,0,6,0,0,0,53,124,6.35,1.154,6.9,2.1,3.5,4.2,1.20,,suareal01
251,Cole Winn,26,TEX,AL,-0.2,2,1,.667,4.85,14,0,2,0,0,1,13.0,11,7,7,3,5,0,15,0,0,1,56,79,4.96,1.231,7.6,2.1,3.5,10.4,3.00,,winnco01
252,Richard Lovelady*,30,2TM,NL,0.3,2,1,.667,2.77,11,0,6,0,0,0,13.0,13,6,4,1,9,4,12,0,0,0,59,153,4.35,1.692,9.0,0.7,6.2,8.3,1.33,,lovelri01
252,Richard Lovelady*,30,NYM,NL,-0.1,1,1,.500,3.68,6,0,5,0,0,0,7.1,8,5,3,1,4,1,6,0,0,0,32,113,4.89,1.636,9.8,1.2,4.9,7.4,1.50,,lovelri01
252,Richard Lovelady*,30,WSN,NL,0.3,1,0,1.000,1.59,5,0,1,0,0,0,5.2,5,1,1,0,5,3,6,0,0,0,27,271,3.65,1.765,7.9,0.0,7.9,9.5,1.20,,lovelri01
253,David Bednar,31,NYY,AL,-0.2,1,2,.333,3.55,13,0,13,0,0,9,12.2,16,8,5,0,5,1,14,1,0,0,61,122,2.33,1.658,11.4,0.0,3.6,9.9,2.80,,bednada01
254,Brennan Bernardino*,34,COL,NL,0.8,2,0,1.000,0.71,14,1,3,0,0,0,12.2,10,2,1,0,3,1,11,1,0,0,49,684,2.33,1.026,7.1,0.0,2.1,7.8,3.67,,bernabr01
255,Mason Englert,26,TBR,AL,-0.3,0,1,.000,7.11,9,1,3,0,0,1,12.2,19,11,10,4,4,2,10,0,0,1,60,62,6.59,1.816,13.5,2.8,2.8,7.1,2.50,,englema01
256,Jordan Hicks,29,CHW,AL,0.2,0,1,.000,4.26,14,0,3,0,0,1,12.2,15,6,6,0,12,2,7,0,0,1,62,104,4.85,2.132,10.7,0.0,8.5,5.0,0.58,,hicksjo03
257,Tim Hill*,36,NYY,AL,0.5,0,0,,1.42,13,0,2,0,0,0,12.2,6,2,2,1,2,0,4,0,0,0,43,305,3.99,0.632,4.3,0.7,1.4,2.8,2.00,,hillti01
258,Jeff Hoffman,33,TOR,AL,-0.5,1,2,.333,6.39,14,0,9,0,0,3,12.2,16,11,9,2,7,2,27,2,0,1,64,71,3.04,1.816,11.4,1.4,5.0,19.2,3.86,,hoffmje02
259,Kevin Kelly,28,TBR,AL,-0.1,2,1,.667,4.26,12,0,3,0,0,2,12.2,6,8,6,1,4,1,11,1,0,0,48,103,3.59,0.789,4.3,0.7,2.8,7.8,2.75,,kellyke02
260,Alex Lange,30,KCR,AL,-0.3,0,2,.000,7.11,11,0,4,0,0,0,12.2,13,11,10,2,10,0,19,1,0,3,61,61,4.78,1.816,9.2,1.4,7.1,13.5,1.90,,langeal01
261,Tommy Nance,35,TOR,AL,-0.1,0,2,.000,5.68,13,0,1,0,0,0,12.2,12,8,8,1,6,0,14,0,0,1,56,80,3.35,1.421,8.5,0.7,4.3,9.9,2.33,,nanceto01
262,Peyton Pallette,25,CLE,AL,0.2,1,1,.500,3.55,9,0,3,0,0,0,12.2,9,5,5,1,7,0,13,2,0,1,55,122,4.22,1.263,6.4,0.7,5.0,9.2,1.86,,pallepe01
263,Tony Santillan,29,CIN,NL,0.7,1,0,1.000,2.13,13,0,1,0,0,1,12.2,7,3,3,2,7,0,14,0,0,0,50,212,4.62,1.105,5.0,1.4,5.0,9.9,2.00,,santito01
264,Robert Suarez,35,ATL,NL,0.6,2,0,1.000,0.71,13,0,4,0,0,3,12.2,9,1,1,0,2,0,13,0,0,1,48,585,1.54,0.868,6.4,0.0,1.4,9.2,6.50,,suarero01
265,Justin Topa,35,MIN,AL,0.2,0,1,.000,3.55,16,0,6,0,0,1,12.2,14,6,5,1,5,0,8,0,0,1,55,127,4.07,1.500,9.9,0.7,3.6,5.7,1.60,,topaju01
266,Angel Zerpa*,26,MIL,NL,-0.8,0,2,.000,6.39,12,0,3,0,0,2,12.2,16,11,9,2,6,0,8,0,0,1,55,66,5.33,1.737,11.4,1.4,4.3,5.7,1.33,,zerpaan01
267,Casey Legumina,29,2TM,AL,0.0,0,1,.000,4.26,9,0,3,0,0,0,12.2,16,6,6,0,4,0,9,3,0,0,58,99,3.35,1.579,11.4,0.0,2.8,6.4,2.25,,legumca01
267,Casey Legumina,29,TBR,AL,0.0,0,0,,0.00,1,0,0,0,0,0,1.0,1,0,0,0,1,0,0,0,0,0,5,,6.12,2.000,9.0,0.0,9.0,0.0,0.00,,legumca01
267,Casey Legumina,29,SEA,AL,0.0,0,1,.000,4.63,8,0,3,0,0,0,11.2,15,6,6,0,3,0,9,3,0,0,53,88,3.12,1.543,11.6,0.0,2.3,6.9,3.00,,legumca01
268,Anthony Banda*,32,MIN,AL,-0.3,1,0,1.000,8.03,14,0,3,0,0,0,12.1,13,11,11,1,4,0,13,4,0,3,57,56,4.01,1.378,9.5,0.7,2.9,9.5,3.25,,bandaan01
269,Lucas Erceg,31,KCR,AL,0.1,2,1,.667,4.38,13,0,11,0,0,7,12.1,10,7,6,0,10,0,10,0,0,1,52,99,3.93,1.622,7.3,0.0,7.3,7.3,1.00,,erceglu01
270,Sam Moll*,34,CIN,NL,0.3,1,1,.500,2.19,13,0,0,0,0,0,12.1,5,5,3,1,8,0,11,3,0,0,53,207,5.06,1.054,3.6,0.7,5.8,8.0,1.38,,mollsa01
271,Mason Montgomery*,26,PIT,NL,0.2,1,0,1.000,3.65,13,2,0,0,0,0,12.1,11,5,5,1,6,0,22,0,0,1,54,119,2.06,1.378,8.0,0.7,4.4,16.1,3.67,,montgma01
272,Emilio Pagán,35,CIN,NL,0.2,2,0,1.000,4.38,12,0,9,0,0,6,12.1,9,6,6,2,6,1,10,1,0,2,52,104,5.31,1.216,6.6,1.5,4.4,7.3,1.67,,paganem01
273,Jack Perkins,26,ATH,AL,0.7,2,0,1.000,2.92,7,0,3,0,0,2,12.1,10,4,4,0,3,0,16,2,0,0,51,160,1.74,1.054,7.3,0.0,2.2,11.7,5.33,,perkija01
274,Michael Petersen,32,MIA,NL,0.1,1,1,.500,3.65,11,0,4,0,0,1,12.1,9,6,5,1,5,0,13,0,0,0,51,117,3.28,1.135,6.6,0.7,3.6,9.5,2.60,,petermi01
275,Cade Povich*,26,BAL,AL,0.5,1,0,1.000,2.19,2,1,0,0,0,0,12.1,9,3,3,1,3,0,7,0,0,0,48,196,3.77,0.973,6.6,0.7,2.2,5.1,2.33,,povicca01
276,JR Ritchie,23,ATL,NL,0.2,1,0,1.000,2.92,2,2,0,0,0,0,12.1,10,5,4,3,6,0,11,0,0,0,51,143,5.96,1.297,7.3,2.2,4.4,8.0,1.83,,ritchjr01
277,Gabe Speier*,31,SEA,AL,0.1,0,2,.000,2.92,15,0,3,0,0,1,12.1,14,6,4,1,5,1,12,1,0,0,56,140,3.69,1.541,10.2,0.7,3.6,8.8,2.40,,speiega01
278,Greg Weissert,31,BOS,AL,-0.3,0,1,.000,5.11,14,0,1,0,0,0,12.1,14,8,7,4,4,1,17,0,0,0,56,83,5.55,1.459,10.2,2.9,2.9,12.4,4.25,,weissgr01
279,Anthony Bender,31,MIA,NL,0.0,1,0,1.000,5.25,14,0,4,0,0,1,12.0,11,7,7,0,8,1,14,2,0,3,57,82,3.28,1.583,8.3,0.0,6.0,10.5,1.75,,bendean01
280,Connor Brogdon,31,CLE,AL,-0.2,2,2,.500,5.25,12,0,4,0,0,1,12.0,10,9,7,3,2,0,11,0,0,1,50,83,5.03,1.000,7.5,2.3,1.5,8.3,5.50,,brogdco01
281,Matt Gage*,33,SFG,NL,0.3,2,0,1.000,1.50,13,0,1,0,0,0,12.0,7,2,2,1,7,0,8,0,0,0,48,269,4.62,1.167,5.3,0.8,5.3,6.0,1.14,,gagema01
282,Pierce Johnson,35,CIN,NL,0.2,1,1,.500,3.75,14,0,3,0,0,0,12.0,13,5,5,2,2,0,13,0,0,1,50,121,3.62,1.250,9.8,1.5,1.5,9.8,6.50,,johnspi01
283,Caleb Kilian,29,SFG,NL,0.6,1,0,1.000,0.75,12,0,3,0,0,0,12.0,4,1,1,1,7,1,14,1,0,0,47,539,3.87,0.917,3.0,0.8,5.3,10.5,2.00,,kiliaca01
284,Andrés Muñoz,27,SEA,AL,-0.4,3,2,.600,6.00,13,0,10,0,0,6,12.0,10,9,8,2,6,0,20,0,0,1,52,68,3.45,1.333,7.5,1.5,4.5,15.0,3.33,,munozan01
285,Eric Orze,28,MIN,AL,0.0,0,1,.000,5.25,12,0,3,0,0,1,12.0,12,7,7,0,6,0,12,0,0,0,52,86,2.62,1.500,9.0,0.0,4.5,9.0,2.00,,orzeer01
286,Ryne Stanek,34,STL,NL,-0.8,1,0,1.000,9.00,14,0,2,0,0,1,12.0,16,13,12,1,12,0,17,0,0,1,64,44,4.37,2.333,12.0,0.8,9.0,12.8,1.42,,stanery01
287,Blade Tidwell,25,SFG,NL,0.1,0,0,,3.00,8,0,6,0,0,1,12.0,10,4,4,1,3,0,10,1,0,0,47,135,3.53,1.083,7.5,0.8,2.3,7.5,3.33,,tidwebl01
288,Ryan Walker,30,SFG,NL,0.1,0,0,,3.00,12,0,6,0,0,3,12.0,10,5,4,1,6,2,12,0,0,1,51,135,3.70,1.333,7.5,0.8,4.5,9.0,2.00,,walkery01
289,Hunter Barco*,25,PIT,NL,-0.5,0,1,.000,7.71,5,0,2,0,0,0,11.2,14,12,10,3,9,0,8,2,0,0,60,56,7.92,1.971,10.8,2.3,6.9,6.2,0.89,,barcohu01
290,Kody Funderburk*,29,MIN,AL,0.4,1,1,.500,2.31,14,0,1,0,0,1,11.2,8,3,3,1,9,0,8,2,0,0,52,195,5.69,1.457,6.2,0.8,6.9,6.2,0.89,,fundeko01
291,Andrew Hoffmann,26,ARI,NL,-0.4,1,0,1.000,7.71,8,0,3,0,0,0,11.2,16,12,10,3,8,0,12,1,0,0,59,57,6.72,2.057,12.3,2.3,6.2,9.3,1.50,,hoffman01
292,Brad Keller,30,PHI,NL,0.3,1,0,1.000,3.86,12,0,2,0,0,0,11.2,9,5,5,2,3,0,10,0,0,1,46,114,4.40,1.029,6.9,1.5,2.3,7.7,3.33,,kellebr01
293,Bryan King*,29,HOU,AL,0.0,0,1,.000,3.86,10,0,3,0,0,1,11.2,11,7,5,0,5,1,13,3,0,0,53,114,2.95,1.371,8.5,0.0,3.9,10.0,2.60,,kingbr02
294,Drew Pomeranz*,37,LAA,AL,-0.7,0,3,.000,8.49,13,0,4,0,0,0,11.2,15,12,11,4,7,4,9,1,0,0,57,52,8.09,1.886,11.6,3.1,5.4,6.9,1.29,,pomerdr01
295,Cole Sands,28,MIN,AL,0.1,1,1,.500,4.63,12,0,6,0,0,1,11.2,12,6,6,2,4,0,11,0,0,1,50,98,4.49,1.371,9.3,1.5,3.1,8.5,2.75,,sandsco01
296,Will Vest,31,DET,AL,-0.3,1,3,.250,6.17,13,0,4,0,0,0,11.2,11,10,8,1,6,0,13,0,0,1,52,72,3.55,1.457,8.5,0.8,4.6,10.0,2.17,,vestwi01
297,Victor Vodnik,26,COL,NL,-0.3,0,2,.000,6.94,11,0,8,0,0,4,11.2,17,10,9,2,6,0,10,1,0,2,57,70,5.43,1.971,13.1,1.5,4.6,7.7,1.67,,vodnivi01
298,Bryan Baker,31,TBR,AL,0.2,1,0,1.000,3.18,12,0,8,0,0,7,11.1,9,4,4,1,3,0,13,0,1,0,46,138,2.77,1.059,7.1,0.8,2.4,10.3,4.33,,bakerbr01
299,Matt Brash,28,SEA,AL,0.7,2,0,1.000,0.00,14,0,1,0,0,0,11.1,3,1,0,0,2,1,8,1,0,0,38,,2.50,0.441,2.4,0.0,1.6,6.4,4.00,,brashma01
300,Jaden Hill,26,COL,NL,0.4,0,1,.000,3.18,13,0,1,0,0,0,11.1,12,4,4,1,8,1,12,0,0,0,55,153,4.27,1.765,9.5,0.8,6.4,9.5,1.50,,hillja01
301,Griffin Jax,31,TBR,AL,-0.7,1,2,.333,6.35,12,1,1,0,0,0,11.1,11,11,8,3,8,1,12,0,0,1,52,69,6.56,1.676,8.7,2.4,6.4,9.5,1.50,,jaxgr01
302,Daniel Lynch IV*,29,KCR,AL,0.4,0,0,,0.79,11,0,0,0,0,0,11.1,3,4,1,0,3,0,13,1,0,0,42,548,1.88,0.529,2.4,0.0,2.4,10.3,4.33,,lynchda02
303,Ryan Thompson,34,ARI,NL,0.0,2,0,1.000,3.97,16,0,2,0,0,0,11.1,8,6,5,2,5,1,7,1,2,0,46,110,5.77,1.147,6.4,1.6,4.0,5.6,1.40,,thompry02
304,Walbert Ureña,22,LAA,AL,-0.5,0,3,.000,4.76,4,2,0,0,0,0,11.1,15,12,6,1,10,1,13,0,0,1,60,92,4.62,2.206,11.9,0.8,7.9,10.3,1.30,,urenawa01
305,Abner Uribe,26,MIL,NL,0.0,1,1,.500,3.97,13,0,4,0,0,2,11.1,9,5,5,1,3,0,13,0,0,0,45,106,2.77,1.059,7.1,0.8,2.4,10.3,4.33,,uribeab01
306,Gus Varland,29,WSN,NL,0.3,0,0,,3.18,12,0,2,0,0,2,11.1,13,4,4,1,3,0,13,0,0,1,50,131,2.77,1.412,10.3,0.8,2.4,10.3,4.33,,varlagu01
307,Cole Wilcox,26,SEA,AL,-0.2,0,0,,6.35,9,0,2,0,0,0,11.1,17,8,8,1,8,1,14,2,0,1,60,64,4.44,2.206,13.5,0.8,6.4,11.1,1.75,,wilcoco01
308,Paul Blackburn,32,NYY,AL,0.0,1,1,.500,4.09,7,0,4,0,0,0,11.0,14,6,5,0,3,0,7,0,0,0,49,106,2.66,1.545,11.5,0.0,2.5,5.7,2.33,,blackpa01
309,Fernando Cruz,36,NYY,AL,0.2,2,0,1.000,3.27,14,0,1,0,0,0,11.0,9,4,4,2,9,0,19,1,0,0,51,133,4.75,1.636,7.4,1.6,7.4,15.5,2.11,,cruzfe01
310,Calvin Faucher,30,MIA,NL,-0.4,2,2,.500,4.91,13,0,3,0,0,1,11.0,8,10,6,0,12,1,13,0,0,2,53,88,4.03,1.818,6.5,0.0,9.8,10.6,1.08,,fauchca01
311,Tanner Gordon,28,COL,NL,-0.1,0,0,,7.36,3,0,3,0,0,0,11.0,15,9,9,4,4,1,13,0,0,1,51,66,6.57,1.727,12.3,3.3,3.3,10.6,3.25,,gordota01
312,Dean Kremer,30,BAL,AL,-0.1,0,1,.000,4.09,2,2,0,0,0,0,11.0,8,7,5,4,2,0,16,0,0,0,43,105,5.48,0.909,6.5,3.3,1.6,13.1,8.00,,kremede01
313,Peter Lambert,29,HOU,AL,0.3,1,1,.500,3.27,2,2,0,0,0,0,11.0,10,4,4,0,4,0,16,2,0,1,48,134,1.85,1.273,8.2,0.0,3.3,13.1,4.00,,lambepe01
314,Joe Mantiply*,35,TOR,AL,0.2,1,0,1.000,3.27,10,0,2,0,0,0,11.0,12,4,4,1,3,0,16,1,0,0,48,139,2.48,1.364,9.8,0.8,2.5,13.1,5.33,,mantijo01
315,Nick Mears,29,KCR,AL,0.4,2,1,.667,2.45,12,0,1,0,0,0,11.0,6,3,3,0,6,0,9,0,0,1,44,177,3.12,1.091,4.9,0.0,4.9,7.4,1.50,,mearsni01
316,Andrew Nardi*,27,MIA,NL,-0.2,2,1,.667,6.55,13,0,0,0,0,0,11.0,12,8,8,2,9,0,13,0,0,0,52,66,5.57,1.909,9.8,1.6,7.4,10.6,1.44,,nardian01
317,Connor Seabold,30,DET,AL,0.1,1,0,1.000,4.09,8,0,5,0,0,0,11.0,12,5,5,2,5,0,11,1,0,0,50,108,5.12,1.545,9.8,1.6,4.1,9.0,2.20,,seaboco01
318,Paul Sewald,36,ARI,NL,0.0,0,3,.000,4.09,13,0,11,0,0,7,11.0,6,6,5,3,3,0,13,0,0,1,42,107,5.12,0.818,4.9,2.5,2.5,10.6,4.33,,sewalpa01
319,Chase Silseth,26,LAA,AL,0.3,0,0,,3.27,15,0,2,0,0,0,11.0,10,4,4,1,10,0,10,0,0,3,52,134,5.21,1.818,8.2,0.8,8.2,8.2,1.00,,silsech01
320,Luke Weaver,32,NYM,NL,-0.1,2,0,1.000,4.91,11,0,2,0,0,0,11.0,8,6,6,1,4,0,7,0,0,0,45,83,4.12,1.091,6.5,0.8,3.3,5.7,1.75,,weavelu01
321,Garrett Whitlock,30,BOS,AL,0.2,2,1,.667,3.27,11,0,3,0,0,0,11.0,8,5,4,2,5,0,13,0,0,1,46,130,4.48,1.182,6.5,1.6,4.1,10.6,2.60,,whitlga01
322,Ryan Yarbrough*,34,NYY,AL,0.1,0,0,,4.09,7,0,6,0,0,0,11.0,8,5,5,1,4,1,8,2,1,0,46,106,4.48,1.091,6.5,0.8,3.3,6.5,2.00,,yarbrry01
323,Shawn Armstrong,35,CLE,AL,0.1,1,0,1.000,4.22,12,0,2,0,0,0,10.2,8,5,5,2,7,0,13,1,0,0,47,103,5.37,1.406,6.8,1.7,5.9,11.0,1.86,,armstsh01
324,Valente Bellozo,26,COL,NL,-0.3,0,1,.000,7.59,3,0,2,0,0,0,10.2,10,10,9,5,7,2,8,1,0,0,48,64,9.96,1.594,8.4,4.2,5.9,6.8,1.14,,bellova01
325,Hunter Brown,27,HOU,AL,0.7,1,0,1.000,0.84,2,2,0,0,0,0,10.2,5,1,1,0,6,0,17,0,0,0,43,521,1.62,1.031,4.2,0.0,5.1,14.3,2.83,,brownhu01
326,Mason Fluharty*,24,TOR,AL,0.0,1,0,1.000,5.06,15,1,0,0,0,0,10.2,9,6,6,1,5,1,15,0,0,0,45,90,2.93,1.313,7.6,0.8,4.2,12.7,3.00,,fluhama01
327,Jose Franco,25,CIN,NL,-0.1,0,0,,5.91,5,0,2,0,0,0,10.2,13,8,7,2,8,0,9,0,0,0,50,77,6.12,1.969,11.0,1.7,6.8,7.6,1.13,,francjo02
328,Ryan Helsley,31,BAL,AL,0.3,0,2,.000,2.53,12,0,10,0,0,7,10.2,7,3,3,0,7,1,15,0,0,3,46,170,2.27,1.313,5.9,0.0,5.9,12.7,2.14,,helslry01
329,Matt Strahm*,34,KCR,AL,0.1,0,0,,4.22,11,0,0,0,0,0,10.2,10,5,5,2,5,0,12,1,0,1,48,103,4.99,1.406,8.4,1.7,4.2,10.1,2.40,,strahma01
330,Payton Tolle*,23,BOS,AL,0.3,0,1,.000,3.38,2,2,0,0,0,0,10.2,6,4,4,1,5,0,15,0,0,0,42,127,2.93,1.031,5.1,0.8,4.2,12.7,3.00,,tollepa01
331,Alex Vesia*,30,LAD,NL,0.4,0,0,,1.69,13,0,2,0,0,2,10.2,4,2,2,0,5,0,14,0,1,0,41,245,1.90,0.844,3.4,0.0,4.2,11.8,2.80,,vesiaal01
332,Jacob Webb,32,CHC,NL,-0.4,0,1,.000,5.06,13,0,5,0,0,0,10.2,16,9,6,3,6,0,12,0,0,0,52,77,6.21,2.063,13.5,2.5,5.1,10.1,2.00,,webbja01
333,Keaton Winn,28,SFG,NL,0.2,0,1,.000,2.53,12,0,1,0,0,0,10.2,4,3,3,0,2,0,13,0,0,1,38,160,1.24,0.563,3.4,0.0,1.7,11.0,6.50,,winnke01
334,Brandon Young,27,BAL,AL,0.4,2,0,1.000,2.53,2,2,0,0,0,0,10.2,9,3,3,1,3,0,7,0,0,1,43,170,3.87,1.125,7.6,0.8,2.5,5.9,2.33,,youngbr01
335,Clayton Beeter,27,WSN,NL,0.3,1,0,1.000,3.48,10,0,4,0,0,2,10.1,5,4,4,2,8,2,9,1,0,5,46,120,6.51,1.258,4.4,1.7,7.0,7.8,1.13,,beetecl01
336,Enyel De Los Santos,30,HOU,AL,-0.2,0,1,.000,6.10,10,0,6,0,0,3,10.1,12,7,7,1,3,0,8,0,0,0,46,72,3.70,1.452,10.5,0.9,2.6,7.0,2.67,,delosen01
337,Camilo Doval,28,NYY,AL,-0.3,1,0,1.000,6.97,12,0,1,0,0,0,10.1,10,8,8,3,2,0,11,0,0,1,45,63,5.34,1.161,8.7,2.6,1.7,9.6,5.50,,dovalca01
338,Zack Kelly,31,BOS,AL,0.1,0,1,.000,3.48,10,0,3,0,0,0,10.1,7,4,4,1,2,0,8,0,0,1,40,123,3.41,0.871,6.1,0.9,1.7,7.0,4.00,,kellyza01
