Hashcode,Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS,WAR,salary,League,Teams,Leagues,Season,Total_OB,Total_Outs,Game_Fatigue_Factor,Condition,Status,Injured Days
16828,Jeff McNeil,NYM,2B,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.35,6250000.0,NL,['NYM'],['NL'],2024,0,0,0,100,Active,0
516184,Kyle Schwarber,PHI,OF,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64,20000000.0,NL,['PHI'],['NL'],2024,0,0,0,100,Active,0
839511,Mookie Betts,LAD,OF,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.31,25416667.0,AL,['LAD'],['AL'],2024,0,0,0,100,Active,0
238037,Christian Walker,ARI,1B,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.81,6500000.0,AL,['ARI'],['AL'],2024,0,0,0,100,Active,0
708093,Spencer Steer,CIN,3B,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,720000.0,NL,['CIN'],['NL'],2024,0,0,0,100,Active,0
193121,Ezequiel Tovar,COL,SS,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46,722000.0,NL,['COL'],['NL'],2024,0,0,0,100,Active,0
437742,Rafael Devers,BOS,3B,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.49,17500000.0,AL,['BOS'],['AL'],2024,0,0,0,100,Active,0
423532,Ian Happ,CHC,OF,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.02,10850000.0,NL,['CHC'],['NL'],2024,0,0,0,100,Active,0
114469,Bryan De La Cruz,MIA,OF,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.32,736000.0,NL,['MIA'],['NL'],2024,0,0,0,100,Active,0
345745,Jeremy Pena,HOU,SS,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,720000.0,AL,['HOU'],['AL'],2024,0,0,0,100,Active,0
905645,Fernando Tatis,SD,OF,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,720000.0,NL,['SD'],['NL'],2024,0,0,0,100,Active,0
14113,Luis Arraez,MIA,2B,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.88,6100000.0,NL,['MIA'],['NL'],2024,0,0,0,100,Active,0
162428,Bryan Reynolds,PIT,OF,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.41,7000000.0,NL,['PIT'],['NL'],2024,0,0,0,100,Active,0
520018,Kyle Tucker,HOU,OF,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.41,5000000.0,AL,['HOU'],['AL'],2024,0,0,0,100,Active,0
1024151,Bo Bichette,TOR,SS,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.92,3933333.0,AL,['TOR'],['AL'],2024,0,0,0,100,Active,0
602253,Ketel Marte,ARI,2B,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.94,11600000.0,AL,['ARI'],['AL'],2024,0,0,0,100,Active,0
547988,Juan Soto,SD,OF,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.46,23000000.0,NL,['SD'],['NL'],2024,0,0,0,100,Active,0
468159,Pete Alonso,NYM,1B,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.18,14500000.0,NL,['NYM'],['NL'],2024,0,0,0,100,Active,0
144411,Andrew Vaughn,CWS,1B,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,760000.0,AL,['CWS'],['AL'],2024,0,0,0,100,Active,0
808661,Corbin Carroll,ARI,OF,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.43,1625000.0,AL,['ARI'],['AL'],2024,0,0,0,100,Active,0
957163,Dansby Swanson,CHC,SS,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.79,14000000.0,NL,['CHC'],['NL'],2024,0,0,0,100,Active,0
442957,CJ Abrams,WSH,SS,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.36,724200.0,NL,['WSH'],['NL'],2024,0,0,0,100,Active,0
875323,Andrew Benintendi,CWS,OF,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,8600000.0,AL,['CWS'],['AL'],2024,0,0,0,100,Active,0
228180,Nolan Arenado,STL,3B,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.37,35000000.0,NL,['STL'],['NL'],2024,0,0,0,100,Active,0
985921,Gunnar Henderson,BAL,3B,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.18,723200.0,AL,['BAL'],['AL'],2024,0,0,0,100,Active,0
870242,Alec Bohm,PHI,3B,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43,748000.0,NL,['PHI'],['NL'],2024,0,0,0,100,Active,0
206318,Justin Turner,BOS,3B,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,8300000.0,AL,['BOS'],['AL'],2024,0,0,0,100,Active,0
398452,Andres Gimenez,CLE,2B,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,720000.0,AL,['CLE'],['AL'],2024,0,0,0,100,Active,0
196904,Ryan McMahon,COL,3B,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.92,9000000.0,NL,['COL'],['NL'],2024,0,0,0,100,Active,0
1002966,Adolis Garcia,TEX,OF,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,720000.0,AL,['TEX'],['AL'],2024,0,0,0,100,Active,0
520723,Willy Adames,MIL,SS,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.98,8700000.0,NL,['MIL'],['NL'],2024,0,0,0,100,Active,0
975297,Randy Arozarena,TB,OF,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,4150000.0,AL,['TB'],['AL'],2024,0,0,0,100,Active,0
70294,Lourdes Gurriel,ARI,OF,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,720000.0,AL,['ARI'],['AL'],2024,0,0,0,100,Active,0
647549,Christian Yelich,MIL,OF,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.61,26000000.0,NL,['MIL'],['NL'],2024,0,0,0,100,Active,0
736182,Whit Merrifield,TOR,2B,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,6750000.0,AL,['TOR'],['AL'],2024,0,0,0,100,Active,0
278294,Luis Robert,CWS,OF,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,720000.0,AL,['CWS'],['AL'],2024,0,0,0,100,Active,0
194705,Alex Verdugo,BOS,OF,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.62,6300000.0,AL,['BOS'],['AL'],2024,0,0,0,100,Active,0
992131,Manny Machado,SD,3B,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.88,17090909.0,NL,['SD'],['NL'],2024,0,0,0,100,Active,0
493280,Anthony Volpe,NYY,SS,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.25,720000.0,AL,['NYY'],['AL'],2024,0,0,0,100,Active,0
239398,William Contreras,MIL,C,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.76,739000.0,NL,['MIL'],['NL'],2024,0,0,0,100,Active,0
1781,Jose Abreu,HOU,1B,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,720000.0,AL,['HOU'],['AL'],2024,0,0,0,100,Active,0
8769,Salvador Perez,KC,C,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53,20000000.0,AL,['KC'],['AL'],2024,0,0,0,100,Active,0
1043477,Ha-Seong Kim,SD,SS,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.77,7000000.0,NL,['SD'],['NL'],2024,0,0,0,100,Active,0
308960,Masataka Yoshida,BOS,OF,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39,15600000.0,AL,['BOS'],['AL'],2024,0,0,0,100,Active,0
888518,J.P. Crawford,SEA,SS,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.14,11000000.0,AL,['SEA'],['AL'],2024,0,0,0,100,Active,0
28464,MJ Melendez,KC,C,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.35,726500.0,AL,['KC'],['AL'],2024,0,0,0,100,Active,0
53158,Marcell Ozuna,ATL,OF,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.29,18000000.0,NL,['ATL'],['NL'],2024,0,0,0,100,Active,0
257744,Dominic Smith,WSH,1B,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,2000000.0,NL,['WSH'],['NL'],2024,0,0,0,100,Active,0
308845,Daulton Varsho,TOR,C,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.88,3050000.0,AL,['TOR'],['AL'],2024,0,0,0,100,Active,0
399490,Yandy Diaz,TB,3B,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,720000.0,AL,['TB'],['AL'],2024,0,0,0,100,Active,0
672372,Keibert Ruiz,WSH,C,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,1375000.0,NL,['WSH'],['NL'],2024,0,0,0,100,Active,0
466971,Austin Hays,BAL,OF,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.49,3200000.0,AL,['BAL'],['AL'],2024,0,0,0,100,Active,0
161256,Seiya Suzuki,CHC,OF,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.84,18000000.0,NL,['CHC'],['NL'],2024,0,0,0,100,Active,0
465027,Carlos Correa,MIN,SS,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,33333333.0,AL,['MIN'],['AL'],2024,0,0,0,100,Active,0
495522,Cal Raleigh,SEA,C,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.22,758300.0,AL,['SEA'],['AL'],2024,0,0,0,100,Active,0
305969,Leody Taveras,TEX,OF,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.58,733445.0,AL,['TEX'],['AL'],2024,0,0,0,100,Active,0
551211,Javier Baez,DET,SS,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,720000.0,AL,['DET'],['AL'],2024,0,0,0,100,Active,0
561515,Matt Chapman,TOR,3B,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.38,12500000.0,AL,['TOR'],['AL'],2024,0,0,0,100,Active,0
