Hashcode,Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS,League,Teams,Leagues,Season,Total_OB,Total_Outs,Game_Fatigue_Factor,Condition,Status,Injured Days
662594,Jose Herrera,ARI,C,26,180,424,48,84,14,0,0,24,2,0,44,128,18,2,0,0.208,0.296,0.257,0.553,AL,['ARI'],['AL'],"[2022, 2023, 2024]",128,340,0,100,Active,0
1038046,Eric Hosmer,CHC,1B,33,1215,4266,405,1116,198,0,90,522,0,0,387,801,0,9,9,0.234,0.28,0.33,0.61,NL,"['SD', 'CHC', 'BOS']","['AL', 'NL']","[2022, 2023, 2024]",1512,3159,0,100,Active,0
668263,Everson Pereira,NYY,OF,22,27,93,6,14,4,0,0,10,4,0,8,40,0,0,2,0.151,0.233,0.194,0.427,AL,['NYY'],['AL'],"[2022, 2023, 2024]",24,81,0,100,Active,0
855845,Michael Chavis,WAS,2B,28,354,984,110,228,38,6,32,108,4,2,48,318,0,8,4,0.242,0.281,0.341,0.622,NL,"['PIT', 'WAS']",['NL'],"[2022, 2023, 2024]",280,760,0,100,Active,0
124163,Jonathan Davis,MIA,OF,31,142,332,62,78,10,2,4,28,16,6,42,110,6,4,4,0.244,0.307,0.378,0.685,NL,"['MIA', 'MIL']",['NL'],"[2022, 2023, 2024]",124,258,0,100,Active,0
541763,Cade Marlowe,SEA,OF,26,34,88,14,21,3,2,3,11,4,2,12,33,0,0,0,0.239,0.33,0.42,0.75,AL,['SEA'],['AL'],"[2022, 2023, 2024]",33,67,0,100,Active,0
810741,Jonathan Aranda,TB,2B,25,132,330,46,70,16,2,8,38,0,0,42,108,0,2,6,0.23,0.34,0.368,0.708,AL,['TB'],['AL'],"[2022, 2023, 2024]",118,266,0,100,Active,0
387055,Carter Kieboom,WAS,3B,26,27,87,12,18,2,0,4,11,0,0,6,27,0,0,1,0.207,0.266,0.368,0.634,NL,['WAS'],['NL'],"[2022, 2023, 2024]",25,70,0,100,Active,0
509029,Osleivis Basabe,TB,SS,23,31,87,15,19,5,0,1,12,0,1,6,25,0,0,1,0.218,0.277,0.31,0.587,AL,['TB'],['AL'],"[2022, 2023, 2024]",26,69,0,100,Active,0
1017016,Luken Baker,STL,1B,26,33,86,9,18,3,0,2,10,0,0,13,31,0,0,0,0.209,0.313,0.314,0.627,NL,['STL'],['NL'],"[2022, 2023, 2024]",31,68,0,100,Active,0
577327,Miguel Andujar,PIT,OF,28,594,1944,198,468,108,9,45,315,54,9,99,360,0,27,0,0.25,0.3,0.476,0.776,NL,"['PIT', 'NYY']","['NL', 'AL']","[2022, 2023, 2024]",567,1476,0,100,Active,0
159629,David Hensley,HOU,DH,27,92,226,38,40,6,2,4,16,2,0,30,82,0,0,0,0.119,0.213,0.167,0.38,AL,['HOU'],['AL'],"[2022, 2023, 2024]",70,186,0,100,Active,0
409092,Hunter Dozier,KC,3B,32,316,1088,118,248,56,10,28,100,12,6,84,308,0,4,6,0.183,0.253,0.305,0.558,AL,['KC'],['AL'],"[2022, 2023, 2024]",338,846,0,100,Active,0
1044594,Hanser Alberto,CWS,2B,30,206,476,48,112,28,4,10,62,0,2,14,76,4,2,2,0.22,0.261,0.39,0.651,AL,"['CWS', 'LAD']",['AL'],"[2022, 2023, 2024]",128,366,0,100,Active,0
658977,Andrew Velazquez,LAA,SS,29,358,806,98,154,22,0,22,62,60,8,50,298,18,6,6,0.173,0.264,0.284,0.548,AL,['LAA'],['AL'],"[2022, 2023, 2024]",210,658,0,100,Active,0
982720,Curt Casali,CIN,C,34,873,2052,252,396,54,0,45,207,0,0,315,657,27,18,36,0.175,0.29,0.2,0.49,NL,"['CIN', 'SF', 'SEA']","['AL', 'NL']","[2022, 2023, 2024]",747,1692,0,100,Active,0
